STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16627;2000;1;1;0;1.010,5;7;6;;;85;240;12;10;8;;
16627;2000;1;1;3;1.012,8;6,6;5,4;;;82;210;6;10;7;;
16627;2000;1;1;6;1.016,4;4,6;3,8;7;4,6;87;360;6;10;3;4,5;
16627;2000;1;1;9;1.019,8;4,8;3,2;;;74;360;8;10;7;;
16627;2000;1;1;12;1.020,3;5;3,2;;;71;40;8;10;6;;
16627;2000;1;1;15;1.022,5;4;2;;;67;60;8;15;6;;
16627;2000;1;1;18;1.023,3;3;0,6;5,8;3;60;30;10;10;4;;
16627;2000;1;1;21;1.023,7;1,6;0,4;;;78;20;6;10;4;;
16627;2000;1;2;0;1.023,5;1,4;0,2;;;78;20;6;10;1;;
16627;2000;1;2;3;1.023,5;1,4;0,2;;;78;20;6;10;0;;
16627;2000;1;2;6;1.024,4;1,6;0,4;3;-0,2;78;20;8;10;7;;
16627;2000;1;2;9;1.024,7;4;1,2;;;54;30;10;10;2;;
16627;2000;1;2;12;1.024;4,8;2;;;56;30;14;10;3;;
16627;2000;1;2;15;1.025,4;2,6;0,2;;;58;20;10;10;3;;
16627;2000;1;2;18;1.026,5;1,6;-0,2;6,6;1,6;70;20;16;10;5;;
16627;2000;1;2;21;1.027,1;1;0,2;;;85;360;10;10;4;;
16627;2000;1;3;0;1.027,1;0,4;-0,4;;;86;360;10;10;0;;
16627;2000;1;3;3;1.026,3;0,2;-0,4;;;89;350;8;10;0;;
16627;2000;1;3;6;1.026,9;0,2;-0,2;1,6;0,2;93;0;0;10;0;;
16627;2000;1;3;9;1.028,4;2,6;0,2;;;58;20;15;10;1;;
16627;2000;1;3;12;1.026,4;3,4;0,8;;;57;10;15;10;1;;
16627;2000;1;3;15;1.026,4;2,4;0,2;;;61;10;14;10;1;;
16627;2000;1;3;18;1.026;-0,6;-2;3,4;-0,6;74;360;6;10;0;;
16627;2000;1;3;21;1.025,1;-1,6;-3;;;72;360;6;10;0;;
16627;2000;1;4;0;1.023,5;-2,4;-3,2;;;84;330;5;10;0;;
16627;2000;1;4;3;1.022,9;-2,4;-3,2;;;84;60;5;10;4;;
16627;2000;1;4;6;1.023,1;-2,2;-2,6;-0,6;-3;92;0;0;10;7;;
16627;2000;1;4;9;1.022,9;2,6;1,4;;;79;0;0;10;3;;
16627;2000;1;4;12;1.022,5;6;3,4;;;61;0;0;10;3;;
16627;2000;1;4;15;1.022,4;4,4;2,4;;;67;;;10;2;;
16627;2000;1;4;18;1.023,4;0,4;-1,2;6;-2,2;72;;;10;0;;
16627;2000;1;4;21;1.023,8;-1,8;-2,8;;;80;;;10;0;;
16627;2000;1;5;0;1.022,9;-2;-3;;;80;;;10;0;;
16627;2000;1;5;3;1.022,6;-3;-3,8;;;83;;;10;0;;
16627;2000;1;5;6;1.022,4;-2;-3;0,4;-3,4;80;;;10;0;;
16627;2000;1;5;9;1.023,4;2,2;0,4;;;67;;;10;0;;
16627;2000;1;5;12;1.022;5,8;3;;;58;;;10;0;;
16627;2000;1;5;15;1.021,4;4,6;2,2;;;62;;;10;0;;
16627;2000;1;5;18;1.022,4;0,6;-1;6;-2;72;;;10;0;;
16627;2000;1;5;21;1.022,7;-1,8;-2,8;;;80;;;10;0;;
16627;2000;1;6;0;1.022,6;-1,4;-1,8;;;92;;;10;4;;
16627;2000;1;6;3;1.022,1;-0,6;-1;;;92;;;10;4;;
16627;2000;1;6;6;1.021,7;-0,2;-0,8;0,6;-2,2;89;;;10;4;;
16627;2000;1;6;9;1.022,7;2;0,8;;;79;;;10;7;;
16627;2000;1;6;12;1.021,4;4,8;2,8;;;69;;;10;4;;
16627;2000;1;6;15;1.021,8;3,8;2,2;;;73;;;10;2;;
16627;2000;1;6;18;1.022,4;3,2;1,6;5,2;-0,2;73;;;10;2;;
16627;2000;1;6;21;1.023,3;1,4;0,2;;;78;;;10;1;;
16627;2000;1;7;0;1.023,4;3;2;;;83;;;10;7;;
16627;2000;1;7;3;1.023,7;2,2;1,2;;;82;;;10;4;;
16627;2000;1;7;6;1.024,4;1;0;3,2;0;81;;;10;5;;
16627;2000;1;7;9;1.026,1;5;3;;;69;360;10;10;4;;
16627;2000;1;7;12;1.025,3;7,6;5;;;64;360;14;10;4;;
16627;2000;1;7;15;1.025,4;5;2,6;;;63;10;12;10;4;;
16627;2000;1;7;18;1.026;4,4;2,2;7,6;1;65;20;18;10;4;;
16627;2000;1;7;21;1.026,6;4;1,2;;;54;360;12;10;2;;
16627;2000;1;8;0;1.026,6;3;0,4;;;55;360;12;10;2;;
16627;2000;1;8;3;1.026,6;0,2;-0,8;;;82;360;12;10;2;;
16627;2000;1;8;6;1.026,6;-1;-2;4,4;-1;81;0;0;10;2;;
16627;2000;1;8;9;1.027;5,4;4;;;78;360;6;10;0;;
16627;2000;1;8;12;1.026,6;8,2;4,6;;;53;360;8;10;0;;
16627;2000;1;8;15;1.026,4;5,4;2,6;;;58;20;6;10;1;;
16627;2000;1;8;18;1.027,4;3,6;2;8,2;-1;73;0;0;10;4;;
16627;2000;1;8;21;1.027,4;3,6;2,2;;;76;0;0;10;7;;
16627;2000;1;9;0;1.027;1,4;0,2;;;78;0;0;10;4;;
16627;2000;1;9;3;1.026,7;-1,2;-2,2;;;81;0;0;10;4;;
16627;2000;1;9;6;1.026,4;1;0;3,6;-2,2;81;0;0;10;4;;
16627;2000;1;9;9;1.027,7;5;3,2;;;71;0;0;10;0;;
16627;2000;1;9;12;1.026,6;7;3,6;;;53;90;12;10;0;;
16627;2000;1;9;15;1.027;5,4;2,8;;;61;70;8;10;6;;
16627;2000;1;9;18;1.028,2;1,2;0;7;1;78;0;0;10;1;;
16627;2000;1;9;21;1.028,2;0,4;-0,6;;;82;0;0;10;0;;
16627;2000;1;10;0;1.028,3;-1,8;-2,8;;;80;0;0;10;0;;
16627;2000;1;10;3;1.028,3;-2,8;-3,4;;;87;0;0;10;0;;
16627;2000;1;10;6;1.029,8;-3,8;-5,2;1,2;-4;70;0;0;10;0;;
16627;2000;1;10;9;1.030,5;4;2,2;;;70;0;0;10;3;;
16627;2000;1;10;12;1.028,7;7;4;;;57;90;10;10;1;;
16627;2000;1;10;15;1.029;6,8;4,2;;;62;80;8;10;2;;
16627;2000;1;10;18;1.029,7;3;1,8;8;-3,8;79;30;6;10;1;;
16627;2000;1;10;21;1.030,1;2,2;1,2;;;82;20;6;10;0;;
16627;2000;1;11;0;1.030,5;1;0,2;;;85;40;6;10;0;;
16627;2000;1;11;3;1.030,7;0,6;-0,2;;;86;60;5;10;0;;
16627;2000;1;11;6;1.031,9;1;0;3;-1;81;90;8;10;2;;
16627;2000;1;11;9;1.034;4;2;;;67;30;10;10;5;;
16627;2000;1;11;12;1.032,7;5;1,8;;;51;60;12;10;5;;
16627;2000;1;11;15;1.033;4;3;;;84;90;8;10;4;;
16627;2000;1;11;18;1.034,4;0,8;-0,8;5,2;0,8;72;0;0;10;0;;
16627;2000;1;11;21;1.035,3;0,6;-1,2;;;69;60;14;10;0;;
16627;2000;1;12;0;1.035,3;0,2;-1,2;;;75;60;14;10;0;;
16627;2000;1;12;3;1.035,3;0,8;-0,8;;;72;60;14;10;2;;
16627;2000;1;12;6;1.035,8;1;-0,6;4;0;72;350;14;10;1;;
16627;2000;1;12;9;1.036,2;2,6;0,6;;;66;20;10;10;4;;
16627;2000;1;12;12;1.034,5;5,4;3,6;;;73;20;10;10;4;;
16627;2000;1;12;15;1.034,5;4,8;1,4;;;46;30;10;10;2;;
16627;2000;1;12;18;1.034,9;2,8;0,8;6;1;66;20;12;10;2;;
16627;2000;1;12;21;1.035,1;2,4;1,4;;;82;360;8;10;5;;
16627;2000;1;13;0;1.034,7;1;0,2;;;85;0;0;10;4;;
16627;2000;1;13;3;1.034,7;1,4;0,2;;;78;0;0;10;6;;
16627;2000;1;13;6;1.034,7;1,4;0,2;2,8;-2,8;78;0;0;10;4;;
16627;2000;1;13;9;1.034,2;4;1;;;52;90;10;10;1;;
16627;2000;1;13;12;1.031,9;6,8;2,6;;;42;60;10;10;1;;
16627;2000;1;13;15;1.031,5;5,2;1,8;;;49;60;10;10;0;;
16627;2000;1;13;18;1.032,3;1,8;0;7,4;1;67;350;6;10;0;;
16627;2000;1;13;21;1.031,8;1,6;-0,2;;;70;30;6;10;0;;
16627;2000;1;14;0;1.031,3;1,2;-0,4;;;73;30;6;10;0;;
16627;2000;1;14;3;1.031;-2;-2,8;;;84;120;8;10;0;;
16627;2000;1;14;6;1.031,7;-3;-3,6;1,8;-3,2;87;90;6;10;0;;
16627;2000;1;14;9;1.031,1;4;2,6;;;77;30;10;10;0;;
16627;2000;1;14;12;1.030,1;6,8;4,4;;;65;60;10;10;2;;
16627;2000;1;14;15;1.028,7;5;2,4;;;59;360;14;10;0;;
16627;2000;1;14;18;1.028,8;3,8;1,6;6,8;-3;65;360;14;10;0;;
16627;2000;1;14;21;1.029;3,2;1,4;;;69;30;14;10;0;;
16627;2000;1;15;0;1.028,6;3;1;;;66;30;14;10;0;;
16627;2000;1;15;3;1.028,6;3;1;;;66;30;14;10;0;;
16627;2000;1;15;6;1.026,9;3,8;2,2;3,8;2;73;10;10;10;0;;
16627;2000;1;15;9;1.027,7;6,2;4,4;;;73;30;18;10;0;;
16627;2000;1;15;12;1.026,6;8,4;4,6;;;51;30;16;10;0;;
16627;2000;1;15;15;1.024,7;7,4;4,4;;;57;30;12;10;2;;
16627;2000;1;15;18;1.025,3;5;3;9;3,8;69;20;8;10;0;;
16627;2000;1;15;21;1.025,3;3,4;2;;;76;0;0;10;0;;
16627;2000;1;16;0;1.025,3;0,4;-0,2;;;89;0;0;10;0;;
16627;2000;1;16;3;1.025,3;-1,8;-2,8;;;80;0;0;10;0;;
16627;2000;1;16;6;1.024,4;-3;-4;5;-4,2;79;0;0;10;0;;
16627;2000;1;16;9;1.024,4;2,2;1,2;;;82;120;6;10;0;;
16627;2000;1;16;12;1.023,1;7,6;4,6;;;59;50;8;10;0;;
16627;2000;1;16;15;1.023;5,6;3,2;;;63;30;12;10;6;;
16627;2000;1;16;18;1.023,1;3,6;2;7,8;-3;73;20;8;10;4;;
16627;2000;1;16;21;1.023,3;1,8;0,6;;;79;120;8;10;7;;
16627;2000;1;17;0;1.022;2,8;1;;;69;60;8;10;7;;
16627;2000;1;17;3;1.021,3;0,4;-0,8;;;78;60;5;10;7;;
16627;2000;1;17;6;1.020,2;1;-0,8;3,6;0,2;69;60;8;10;6;;
16627;2000;1;17;9;1.018,5;2,8;0;;;52;60;10;10;6;;
16627;2000;1;17;12;1.014,2;4;1;;;52;60;10;10;6;;
16627;2000;1;17;15;1.010,7;3;0,2;;;52;60;10;10;7;;
16627;2000;1;17;18;1.007,9;2,2;0,2;4;1;64;0;0;10;7;;
16627;2000;1;17;21;1.004;0,8;-0,4;;;79;0;0;10;7;;
16627;2000;1;18;0;1.004;0,8;-0,4;;;79;0;0;10;7;;
16627;2000;1;18;3;997,3;1,6;-0,2;;;70;0;0;10;7;;
16627;2000;1;18;6;994,6;2;-0,6;3;0,8;57;0;0;10;7;;
16627;2000;1;18;9;993,8;4,6;3;;;74;0;0;10;7;;
16627;2000;1;18;12;994;9,8;5,6;;;48;240;8;10;4;;
16627;2000;1;18;15;995,5;8,2;2,4;;;23;330;12;10;2;;
16627;2000;1;18;18;998,6;1,2;-1,4;10,6;1,2;57;0;0;10;2;;
16627;2000;1;18;21;999,1;2,2;0,2;;;64;0;0;10;4;;
16627;2000;1;19;0;999,1;3,4;1,4;;;66;160;8;10;4;;
16627;2000;1;19;3;1.000,8;4,2;2;;;65;360;8;10;7;;
16627;2000;1;19;6;1.004,8;1,6;0,2;4,4;1;74;30;8;10;7;;
16627;2000;1;19;9;1.005,8;4;1,6;;;62;0;0;10;4;;
16627;2000;1;19;12;1.006,2;7,2;3,8;;;53;0;0;10;0;;
16627;2000;1;19;15;1.007,3;7;2,8;;;42;330;8;10;0;;
16627;2000;1;19;18;1.010,1;2,2;-0,8;8,4;1,6;51;0;0;10;7;;
16627;2000;1;19;21;1.011,8;1,4;-1;;;60;0;0;10;4;;
16627;2000;1;20;0;1.012,6;0,6;-1,6;;;61;0;0;10;4;;
16627;2000;1;20;3;1.013,4;-1,2;-3;;;65;100;6;10;4;;
16627;2000;1;20;6;1.015,9;1,4;-1,4;2,2;-2;54;360;10;10;7;;
16627;2000;1;20;9;1.019,1;1,6;-2;;;41;360;12;10;2;;
16627;2000;1;20;12;1.020;3;-1,6;;;28;360;12;10;3;;
16627;2000;1;20;15;1.021,6;2,4;-1,2;;;43;350;8;10;4;;
16627;2000;1;20;18;1.023;-2,8;-4;4,6;-2,8;75;0;0;10;0;;
16627;2000;1;20;21;1.023,1;-5;-6;;;76;0;0;10;0;;
16627;2000;1;21;0;1.021,8;-6;-7;;;75;0;0;10;0;;
16627;2000;1;21;3;1.021,8;-6;-7;;;75;0;0;10;0;;
16627;2000;1;21;6;1.017,4;-2,6;-5,2;-2;-6;47;0;0;10;2;;
16627;2000;1;21;9;1.016;4,6;1,2;;;46;240;14;10;3;;
16627;2000;1;21;12;1.013,3;5,4;2;;;49;240;16;10;3;;
16627;2000;1;21;15;1.010,9;6,6;2,8;;;46;240;16;10;4;;
16627;2000;1;21;18;1.009,4;7,2;3,6;7,2;-6;51;240;16;10;3;;
16627;2000;1;21;21;1.007,9;4;1,6;;;62;0;0;10;4;;
16627;2000;1;22;0;1.006,6;2,8;0,8;;;66;0;0;10;4;;
16627;2000;1;22;3;1.008,8;4,4;2,2;;;65;0;0;10;7;;
16627;2000;1;22;6;1.013,3;2,2;-1,6;7,2;2;38;350;18;10;4;;
16627;2000;1;22;9;1.019,9;3;0,2;;;52;350;16;10;2;;
16627;2000;1;22;12;1.019,4;4,4;2,2;;;65;360;8;10;0;;
16627;2000;1;22;15;1.020,3;2,2;-1;;;48;20;12;10;4;;
16627;2000;1;22;18;1.021,7;-3,4;-4,6;4,4;-3,4;73;0;0;10;1;;
16627;2000;1;22;21;1.021,4;-4,2;-5,2;;;77;10;5;10;1;;
16627;2000;1;23;0;1.020,4;-5,6;-6,2;;;85;0;0;10;1;;
16627;2000;1;23;3;1.019,3;-6;-6,4;;;90;0;0;10;0;;
16627;2000;1;23;6;1.019,3;-5;-5,4;-3,4;-7;90;0;0;10;1;;
16627;2000;1;23;9;1.018,6;3,4;2;;;76;70;6;10;5;;
16627;2000;1;23;12;1.015;5;3,4;;;74;120;6;10;7;;
16627;2000;1;23;15;1.011,5;4,2;2,8;;;77;70;8;10;7;;
16627;2000;1;23;18;1.009,3;3,8;2,6;5;-5;80;50;6;10;8;0,4;
16627;2000;1;23;21;1.005,6;8,6;7,2;;;81;160;22;10;8;0;
16627;2000;1;24;0;1.003;10,2;9,4;;;90;160;22;10;8;4,1;
16627;2000;1;24;3;1.000,6;10,2;9,4;;;90;210;26;10;4;1;
16627;2000;1;24;6;999,3;12,2;10,8;12,2;3,8;83;190;26;10;6;5,1;
16627;2000;1;24;9;1.000,8;10,2;8,4;;;77;220;18;6;7;2,7;
16627;2000;1;24;12;1.000,8;10;8;;;74;260;12;10;7;1,4;
16627;2000;1;24;15;1.002,4;7,8;7;;;89;60;8;2;8;1;
16627;2000;1;24;18;1.006,6;1,2;0,6;12,2;1,2;89;30;12;10;8;7,1;
16627;2000;1;24;21;1.009,3;0,2;-0,4;;;89;50;16;8;8;0;
16627;2000;1;25;0;1.012,6;-0,8;-1,4;;;89;50;12;8;8;0,1;
16627;2000;1;25;3;1.015,1;-1,6;-2,2;;;88;50;14;10;8;0;
16627;2000;1;25;6;1.017,8;-2,8;-3,4;1,2;-2,8;87;50;12;10;8;0,4;
16627;2000;1;25;9;1.020,6;-2,6;-3,2;;;87;30;12;10;8;0;
16627;2000;1;25;12;1.021,3;-1;-1,6;;;88;30;12;10;4;;
16627;2000;1;25;15;1.023,4;-2;-2,8;;;84;30;18;10;4;;
16627;2000;1;25;18;1.026,2;-3,8;-5;-0,4;-3,8;73;30;8;10;4;0;
16627;2000;1;25;21;1.026,4;-5,2;-6;;;81;40;6;10;4;;
16627;2000;1;26;0;1.026,4;-5,6;-6,4;;;81;40;12;10;4;;
16627;2000;1;26;3;1.026,4;-5,8;-6,6;;;80;40;10;10;4;;
16627;2000;1;26;6;1.026,4;-8,6;-9,2;-3,8;-8,6;83;60;10;10;4;;
16627;2000;1;26;9;1.025,7;-3,2;-4,4;;;75;60;8;10;1;;
16627;2000;1;26;12;1.025;-1,2;-2,6;;;72;60;12;10;1;;
16627;2000;1;26;15;1.025,8;-3,4;-4,2;;;83;90;8;10;0;;
16627;2000;1;26;18;1.026,6;-5,8;-6,4;-1;-8,6;85;30;6;10;0;;
16627;2000;1;26;21;1.026,4;-7;-7,4;;;90;30;6;10;0;;
16627;2000;1;27;0;1.026,4;-8;-8,4;;;89;0;0;10;0;;
16627;2000;1;27;3;1.026,4;-8;-8,4;;;89;0;0;10;0;;
16627;2000;1;27;6;1.026,7;-6,8;-7,2;-1;-8;90;0;0;10;3;;
16627;2000;1;27;9;1.026,4;-1,6;-2,6;;;80;0;0;10;0;;
16627;2000;1;27;12;1.026;3;1,4;;;72;40;6;10;1;;
16627;2000;1;27;15;1.025,4;4;2,2;;;70;0;0;10;1;;
16627;2000;1;27;18;1.026,4;-1,4;-2;4,2;-6,8;88;0;0;10;0;;
16627;2000;1;27;21;1.026,9;-0,2;-0,6;;;92;0;0;10;2;;
16627;2000;1;28;0;1.026,1;-2,2;-2,6;;;92;0;0;10;0;;
16627;2000;1;28;3;1.025,6;-3,4;-3,8;;;91;0;0;10;7;;
16627;2000;1;28;6;1.025,4;-2,8;-3,2;-0,2;-3,4;92;0;0;10;7;;
16627;2000;1;28;9;1.026,1;3,4;2,4;;;83;;;10;4;;
16627;2000;1;28;12;1.023;6,6;5;;;77;;;10;7;;
16627;2000;1;28;15;1.022;7,4;5,8;;;77;;;10;5;;
16627;2000;1;28;18;1.022,4;5,4;4,6;8;-2,8;88;;;10;7;;
16627;2000;1;28;21;1.022,4;3,4;2,6;;;87;;;10;1;;
16627;2000;1;29;0;1.022;1,6;1;;;89;;;10;0;;
16627;2000;1;29;3;1.021,4;2,2;1,6;;;89;;;10;0;;
16627;2000;1;29;6;1.022,2;-0,4;-1;5,4;-2;89;;;10;0;;
16627;2000;1;29;9;1.023,3;2;1,2;;;85;;;10;1;;
16627;2000;1;29;12;1.021,4;5,6;4,6;;;85;;;10;1;;
16627;2000;1;29;15;1.021,8;5,6;4,6;;;85;;;10;4;;
16627;2000;1;29;18;1.022,2;3,6;2,8;6,4;-0,4;87;;;10;6;;
16627;2000;1;29;21;1.022;2;1;;;82;;;10;3;;
16627;2000;1;30;0;1.021,4;2;1;;;82;;;10;3;;
16627;2000;1;30;3;1.021,4;2;1;;;82;;;10;3;;
16627;2000;1;30;6;1.019,3;0;-0,6;6,4;-0,2;89;;;10;2;;
16627;2000;1;30;9;1.019,4;9,4;7,8;;;79;;;10;7;;
16627;2000;1;30;12;1.016,4;11,2;9,4;;;78;;;10;7;;
16627;2000;1;30;15;1.017;9,6;8,4;;;84;;;10;7;;
16627;2000;1;30;18;1.018,5;7,2;6,4;11,2;0;88;;;10;7;;
16627;2000;1;30;21;1.019,8;7,2;6,2;;;85;;;10;7;;
16627;2000;1;31;0;1.020;6,4;5,4;;;85;;;10;7;;
16627;2000;1;31;3;1.020,8;7;6;;;85;;;10;7;;
16627;2000;1;31;6;1.023,5;4,4;3,4;7,6;4,4;84;;;10;0;;
16627;2000;1;31;9;1.025,4;10,4;7,4;;;62;;;10;0;;
16627;2000;1;31;12;1.024,3;11,8;8,2;;;58;;;10;0;;
16627;2000;1;31;15;1.024;11,4;9,2;;;73;;;10;0;;
16627;2000;1;31;18;1.023,4;7,2;6;12;4,4;83;;;10;4;;
16627;2000;1;31;21;1.021,7;9,4;8,6;;;90;;;10;0;;
16627;2000;2;1;0;1.022;8,2;7,8;;;94;;;10;4;;
16627;2000;2;1;3;1.022,7;6,2;5,4;;;88;;;10;4;;
16627;2000;2;1;6;1.023,4;4,6;4;10;3,2;90;;;10;0;;
16627;2000;2;1;9;1.026,4;12,2;10,6;;;81;;;10;0;;
16627;2000;2;1;12;1.027;13;11,2;;;79;;;10;7;;
16627;2000;2;1;15;1.026,7;13,8;11,6;;;76;;;12;1;;
16627;2000;2;1;18;1.027,8;7,6;6,6;14,4;4,6;86;;;10;0;;
16627;2000;2;1;21;1.028,2;6,8;5,6;;;83;;;10;0;;
16627;2000;2;2;0;1.028,2;6;4,8;;;82;;;10;0;;
16627;2000;2;2;3;1.027,1;1;0,8;;;96;;;10;0;;
16627;2000;2;2;6;1.026;0;-0,6;7,6;0;89;;;10;0;;
16627;2000;2;2;9;1.025;11;9;;;75;200;6;10;0;;
16627;2000;2;2;12;1.022,2;12,4;10,6;;;79;210;10;10;4;;
16627;2000;2;2;15;1.020;13;11,2;;;79;240;12;10;1;;
16627;2000;2;2;18;1.019,5;10,6;10;14;0;92;0;0;10;4;;
16627;2000;2;2;21;1.018,9;9,4;9,2;;;97;0;0;10;2;;
16627;2000;2;3;0;1.017,6;6,8;6,6;;;97;0;0;10;1;;
16627;2000;2;3;3;1.016,3;8,4;8,2;;;97;0;0;8;4;;
16627;2000;2;3;6;1.017,4;9,2;9;10,6;4,8;97;0;0;10;6;;
16627;2000;2;3;9;1.018,2;11,2;10,8;;;95;70;6;10;7;;
16627;2000;2;3;12;1.017;13,4;12;;;84;0;0;10;5;;
16627;2000;2;3;15;1.017;12,6;11,8;;;91;200;8;10;7;;
16627;2000;2;3;18;1.018,4;11;10,2;13,4;5,8;90;0;0;10;7;;
16627;2000;2;3;21;1.019,1;10;9,6;;;95;0;0;10;7;;
16627;2000;2;4;0;1.020,7;9;7,2;;;76;0;0;10;7;0,5;
16627;2000;2;4;3;1.022,7;7;5,2;;;74;0;0;10;7;;
16627;2000;2;4;6;1.025,7;7,2;4,6;13,4;5,6;64;20;25;10;8;0,5;
16627;2000;2;4;9;1.029,3;7,6;5;;;64;30;12;10;6;;
16627;2000;2;4;12;1.029,3;9,8;5,2;;;42;30;14;10;4;;
