STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16716;1980;1;1;0;996,5;12,2;10,6;;;81;270;16;12;8;;
16716;1980;1;1;3;996,4;13;9,6;;;62;230;18;12;7;;
16716;1980;1;1;6;998;10,2;7,6;;10;68;230;18;15;7;6,6;
16716;1980;1;1;9;1.000,5;11,4;8,4;;;64;290;16;20;3;;
16716;1980;1;1;12;1.001,3;13,3;8,7;;;50;340;20;20;6;;
16716;1980;1;1;15;1.004,5;11;6,8;;;50;340;26;30;2;;
16716;1980;1;1;18;1.008,7;10;6,8;15,6;;60;340;24;20;4;;
16716;1980;1;1;21;1.011,9;9,6;6,4;;;59;340;20;20;1;;
16716;1980;1;2;0;1.014,1;7,6;5;;;64;20;6;15;4;;
16716;1980;1;2;3;1.014,4;8,8;6,2;;;65;0;0;15;7;;
16716;1980;1;2;6;1.014,5;7,8;5,4;;6,8;66;0;0;20;7;;
16716;1980;1;2;9;1.014;11;7,8;;;61;160;5;30;5;;
16716;1980;1;2;12;1.010,3;13,4;10;;;62;200;17;25;7;;
16716;1980;1;2;15;1.007,6;13,2;11,4;;;79;200;24;10;7;;
16716;1980;1;2;18;1.006,5;13,6;12,2;13,8;;84;230;12;15;7;0,5;
16716;1980;1;2;21;1.005,2;13,8;12;;;80;200;12;15;6;;
16716;1980;1;3;0;1.002;14,4;13;;;85;200;18;15;6;;
16716;1980;1;3;3;999,3;14,2;12;;;76;230;12;15;8;;
16716;1980;1;3;6;999,5;13,2;10,2;;8;66;230;15;20;6;0,2;
16716;1980;1;3;9;1.000,4;13,2;9;;;54;270;19;25;3;;
16716;1980;1;3;12;999,6;12;8;;;54;270;27;25;6;;
16716;1980;1;3;15;1.000,7;9,6;7,4;;;71;270;14;20;7;;
16716;1980;1;3;18;1.002,1;8,6;5,6;14,6;;61;320;18;15;7;0;
16716;1980;1;3;21;1.004,3;8,6;4,6;;;48;340;14;15;7;;
16716;1980;1;4;0;1.005,1;6,2;3,8;;;65;360;14;15;6;;
16716;1980;1;4;3;1.005,5;6,6;4,4;;;67;320;12;15;7;;
16716;1980;1;4;6;1.007,7;4;2,4;;3,7;73;20;12;12;7;0,6;
16716;1980;1;4;9;1.009,9;6;1,8;;;39;360;13;20;2;;
16716;1980;1;4;12;1.009,7;7;2,2;;;33;360;14;25;3;;
16716;1980;1;4;15;1.010,7;6;1,8;;;39;20;12;20;4;;
16716;1980;1;4;18;1.012,5;4,4;0,8;9;;44;20;8;20;3;;
