STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16754;1990;1;1;0;1.019,4;11;8;;;64;350;7;12;4;;
16754;1990;1;1;3;1.017,8;11,2;8,4;;;66;340;4;15;4;;
16754;1990;1;1;6;1.017,6;11,2;9,2;11,8;10,6;75;360;7;15;8;0,6;
16754;1990;1;1;9;1.017,7;10;9,4;;;92;0;0;12;8;4;
16754;1990;1;1;12;1.015,4;10,6;9,6;;;88;0;0;7;8;4;
16754;1990;1;1;15;1.014,6;9,8;9,2;;;92;0;0;10;8;0,8;
16754;1990;1;1;18;1.014,4;11,2;9,8;11,5;9;83;40;10;12;8;8,9;
16754;1990;1;1;21;1.014,4;11,4;10,6;;;90;50;9;8;8;0,4;
16754;1990;1;2;0;1.013,3;11,6;9,6;;;76;350;10;8;8;2,5;
16754;1990;1;2;3;1.012,3;11,4;10,6;;;90;50;10;7;8;2,8;
16754;1990;1;2;6;1.012,2;11,6;10,8;12;11;90;60;8;7;8;6,3;
16754;1990;1;2;9;1.012,6;12,2;11,2;;;88;10;15;4;8;1,8;
16754;1990;1;2;12;1.011,5;11,8;11;;;90;10;16;8;8;1,7;
16754;1990;1;2;15;1.011,7;11,6;10,4;;;85;360;16;8;8;0,8;
16754;1990;1;2;18;1.012,8;12;9,6;12,4;11,4;72;360;14;12;8;4,3;
16754;1990;1;2;21;1.013,1;12,2;10;;;74;360;8;12;8;;
16754;1990;1;3;0;1.012,3;11,2;9,6;;;81;360;8;10;8;1,7;
16754;1990;1;3;3;1.011,7;11,6;9,6;;;76;360;13;10;8;;
16754;1990;1;3;6;1.012,2;10,6;8,6;12,3;10,5;75;350;5;14;8;1,8;
16754;1990;1;3;9;1.013;10,4;9;;;82;310;4;15;8;0;
16754;1990;1;3;12;1.011,8;11,8;8,8;;;65;340;13;15;8;;
16754;1990;1;3;15;1.012,3;11,6;8,2;;;60;350;13;15;8;;
16754;1990;1;3;18;1.013,1;11,4;8,2;12,2;10,2;61;360;15;15;8;0;
16754;1990;1;3;21;1.013,8;11,4;7,6;;;56;360;15;15;8;;
16754;1990;1;4;0;1.014,7;10,8;7,4;;;58;360;17;14;8;;
16754;1990;1;4;3;1.014,9;10,2;6,6;;;56;350;18;12;8;;
16754;1990;1;4;6;1.017,4;10,2;7,2;11,5;10,2;62;360;19;12;8;0;
16754;1990;1;4;9;1.019,4;9,6;6,8;;;64;360;20;12;8;0;
16754;1990;1;4;12;1.019,9;9,2;5,8;;;56;360;21;12;8;0;
16754;1990;1;4;15;1.021,1;8,8;5,4;;;55;360;19;12;8;;
16754;1990;1;4;18;1.023;8,6;5;10,7;8,6;53;350;20;12;8;0;
16754;1990;1;4;21;1.023,8;8,6;4,6;;;48;360;19;12;8;;
16754;1990;1;5;0;1.024,8;7,4;3,8;;;51;350;22;12;8;;
16754;1990;1;5;3;1.025;7,8;4;;;48;360;21;12;8;;
16754;1990;1;5;6;1.025,6;7,8;4;9;7,4;48;340;14;15;8;;
16754;1990;1;5;9;1.026,7;7,4;4;;;53;10;17;15;8;;
16754;1990;1;5;12;1.025,6;7,4;4;;;53;360;12;15;8;;
16754;1990;1;5;15;1.024,6;7,8;4,6;;;57;350;16;15;8;;
16754;1990;1;5;18;1.024,4;8,4;5;8,6;7,4;55;360;16;15;8;;
16754;1990;1;5;21;1.024,6;8,6;4,6;;;48;340;12;15;8;;
16754;1990;1;6;0;1.024,4;8,8;4,8;;;48;300;12;15;8;;
16754;1990;1;6;3;1.024;8,6;4,6;;;48;350;12;15;8;;
16754;1990;1;6;6;1.025,1;8,4;4,6;9;8,2;51;350;11;15;8;;
16754;1990;1;6;9;1.026,2;8,4;5,2;;;57;360;9;15;8;;
16754;1990;1;6;12;1.024,8;8,6;5,6;;;61;350;3;15;8;;
16754;1990;1;6;15;1.024,6;9,2;5,8;;;56;360;16;15;7;;
16754;1990;1;6;18;1.025,7;9,2;5,8;9,5;8;56;350;13;15;8;;
16754;1990;1;6;21;1.026,1;9,4;5,4;;;48;350;6;15;7;;
16754;1990;1;7;0;1.026,1;9,6;5,8;;;52;320;6;15;8;;
16754;1990;1;7;3;1.026,2;7,8;4,8;;;59;100;5;15;7;;
16754;1990;1;7;6;1.026,9;8,4;7,2;9,8;7,4;83;0;0;15;7;0;
16754;1990;1;7;9;1.028,2;10,4;8;;;70;360;13;15;7;1,8;
16754;1990;1;7;12;1.027,8;10,4;7,4;;;62;350;12;15;7;;
16754;1990;1;7;15;1.027,9;8;7,4;;;91;0;0;15;7;2,2;
