STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16642;1975;1;1;6;1.013,2;5;1,8;;0,4;51;50;30;20;3;;
16642;1975;1;1;9;1.016,7;5;1,2;;;41;50;35;25;6;;
16642;1975;1;1;12;1.016,8;6;2,4;;;46;50;25;25;3;;
16642;1975;1;1;15;1.017,7;6;2,2;;;44;50;15;25;0;;
16642;1975;1;1;18;1.020;0,4;0;7;;92;0;0;10;0;;
16642;1975;1;2;6;1.018,9;-1;-1,2;;-3;96;0;0;20;8;;
16642;1975;1;2;9;1.017,9;3,2;1,4;;;69;0;0;25;8;;
16642;1975;1;2;12;1.016,8;6,4;2;;;37;360;15;25;5;;
16642;1975;1;2;15;1.017,5;5;1;;;39;50;15;25;7;;
16642;1975;1;2;18;1.019,9;4;1;7;;52;0;0;8;3;;
16642;1975;1;3;6;1.022,1;4,6;0,8;;3,8;41;50;25;15;5;;
16642;1975;1;3;9;1.022,4;5,4;1;;;34;50;27;20;6;;
16642;1975;1;3;12;1.022,8;5;1,2;;;41;50;27;20;4;;
16642;1975;1;3;15;1.023,2;5;1;;;39;50;20;25;2;;
16642;1975;1;3;18;1.024,9;3,8;0,4;7;;44;70;26;10;0;;
16642;1975;1;4;6;1.027,6;-3;-3,4;;-3,2;92;0;0;15;0;;
16642;1975;1;4;9;1.027,6;2,4;0;;;58;0;0;20;0;;
16642;1975;1;4;12;1.025,2;6;2;;;42;0;0;25;0;;
16642;1975;1;4;15;1.025,5;5;2;;;54;0;0;25;0;;
16642;1975;1;4;18;1.027,7;-0,4;-1,4;6,8;;82;0;0;10;0;;
16642;1975;1;5;6;1.029,9;-7;-7,4;;-7;90;0;0;15;0;;
16642;1975;1;5;9;1.028,3;-0,4;-1;;;89;0;0;20;0;;
16642;1975;1;5;12;1.025,6;5;1,4;;;44;0;0;20;4;;
16642;1975;1;5;15;1.025,5;4,2;1,2;;;52;0;0;25;0;;
16642;1975;1;5;18;1.027,2;-0,4;-1,4;6;;82;0;0;10;0;;
16642;1975;1;6;6;1.029,9;-4,8;-5;;-6;95;0;0;20;0;;
16642;1975;1;6;9;1.028,9;1,2;0;;;78;0;0;15;0;;
16642;1975;1;6;12;1.026;7;3,4;;;49;0;0;25;0;;
16642;1975;1;6;15;1.025,3;7;3,6;;;53;0;0;25;0;;
16642;1975;1;6;18;1.026,9;2;0,4;9;;71;0;0;10;0;;
16642;1975;1;7;6;1.025,6;-3,6;-4;;-3,6;91;0;0;15;0;;
16642;1975;1;7;9;1.024,3;1;0;;;81;0;0;15;0;;
16642;1975;1;7;12;1.020,4;8;4,6;;;55;0;0;20;0;;
16642;1975;1;7;15;1.018,5;8;5;;;59;0;0;25;0;;
16642;1975;1;7;18;1.019,1;3;2;10;;83;0;0;10;0;;
16642;1975;1;8;6;1.013,5;4,2;2,6;;3;74;0;0;4;8;;
16642;1975;1;8;9;1.012,5;5;4;;;84;0;0;6;8;;
16642;1975;1;8;12;1.009,7;5;4,8;;;97;0;0;2;8;;
16642;1975;1;8;15;1.008,4;5,8;5;;;88;0;0;2;8;;
16642;1975;1;8;18;1.007,2;5,4;4,8;6;;91;0;0;0,5;8;1,8;
16642;1975;1;9;6;1.009,5;1,8;0;;1;67;360;12;15;3;5,6;
16642;1975;1;9;9;1.011,3;3;0;;;49;360;20;25;1;;
16642;1975;1;9;12;1.011,5;5;0,4;;;29;360;25;25;1;;
16642;1975;1;9;15;1.014,9;4;-0,4;;;37;360;20;25;0;;
16642;1975;1;9;18;1.018,7;3;-1;5;;39;340;25;10;0;;
16642;1975;1;10;6;1.029,2;-3;-4;;-3,6;79;0;0;25;0;;
16642;1975;1;10;9;1.030,1;1;0;;;81;0;0;25;0;;
16642;1975;1;10;12;1.029,3;4;0;;;36;0;0;25;0;;
16642;1975;1;10;15;1.028,7;4;0,6;;;46;0;0;25;0;;
16642;1975;1;10;18;1.031,1;-1,4;-2,2;5;;84;0;0;10;0;;
16642;1975;1;11;6;1.033,9;-7;-7,4;;-7;90;0;0;15;0;;
16642;1975;1;11;9;1.033,2;-0,6;-2;;;74;0;0;15;0;;
16642;1975;1;11;12;1.030;5,2;1;;;37;0;0;25;0;;
16642;1975;1;11;15;1.029,9;6;3;;;56;0;0;25;0;;
16642;1975;1;11;18;1.032;0,4;0;7;;92;0;0;15;0;;
16642;1975;1;12;6;1.033,2;-6,2;-6,4;;-6,2;95;0;0;25;0;;
16642;1975;1;12;9;1.033,1;0,2;0;;;96;0;0;25;7;;
16642;1975;1;12;12;1.029,2;5,2;1,6;;;46;0;0;20;8;;
16642;1975;1;12;15;1.028,3;7;3,2;;;46;0;0;20;8;;
16642;1975;1;12;18;1.029,2;5;4,2;7;;87;0;0;15;8;;
16642;1975;1;13;6;1.029,5;4;3,8;;3,8;97;0;0;0,5;8;;
16642;1975;1;13;9;1.030,1;5,6;4,8;;;88;0;0;3;8;;
16642;1975;1;13;12;1.028,7;7;5,2;;;74;0;0;4;8;;
16642;1975;1;13;15;1.028,4;7,4;6,2;;;83;0;0;3;8;;
16642;1975;1;13;18;1.029,3;6,8;5,4;7,6;;79;0;0;2;8;6,3;
16642;1975;1;14;6;1.030,1;5,8;5,4;;4;94;0;0;0,2;9;;
16642;1975;1;14;9;1.032,1;5;4,8;;;97;0;0;0,5;8;;
16642;1975;1;14;12;1.030,8;7;5,8;;;83;0;0;0,8;8;;
16642;1975;1;14;15;1.030,8;7;5,8;;;83;0;0;0,5;8;;
16642;1975;1;14;18;1.033,2;4;3,6;7,8;;93;0;0;0,1;9;;
16642;1975;1;15;6;1.034,8;0;0;;0;100;0;0;0,1;9;;
16642;1975;1;15;9;1.034,9;0,4;0,2;;;96;0;0;0,2;8;;
16642;1975;1;15;12;1.032,8;2,4;2,4;;;100;0;0;0,1;8;;
16642;1975;1;15;15;1.031,9;4;4;;;100;0;0;0,1;8;;
16642;1975;1;15;18;1.032,7;2,4;2,4;4;;100;0;0;0,1;8;;
16642;1975;1;16;6;1.032,7;-2,4;-2,4;;-3,2;100;0;0;0,1;8;;
16642;1975;1;16;9;1.033,3;-2;-2;;;100;0;0;0,1;8;;
16642;1975;1;16;12;1.030,4;2,4;0,4;;;64;0;0;8;0;;
16642;1975;1;16;15;1.028,1;6;5;;;85;0;0;20;0;;
16642;1975;1;16;18;1.029,2;3;2,4;6,4;;89;0;0;8;0;;
16642;1975;1;17;6;1.029,2;-2,2;-3;;-3,2;84;0;0;0,1;9;;
16642;1975;1;17;9;1.029,2;-2;-2;;;100;0;0;0,1;9;;
16642;1975;1;17;12;1.024,1;7;5;;;71;0;0;20;0;;
16642;1975;1;17;15;1.023,3;9;7;;;73;0;0;20;0;;
16642;1975;1;17;18;1.025,3;5;3;9,2;;69;0;0;10;0;;
16642;1975;1;18;6;1.026,3;-4;-4;;-4;100;0;0;0,1;9;;
16642;1975;1;18;9;1.025,9;-1,8;-1,8;;;100;0;0;0,1;9;;
16642;1975;1;18;12;1.021,6;6,6;5,4;;;82;0;0;25;0;;
16642;1975;1;18;15;1.020,4;10;7,2;;;64;0;0;25;0;;
16642;1975;1;18;18;1.022;4;3;11;;84;0;0;15;0;;
16642;1975;1;19;6;1.024,4;-3;-3,4;;-3,4;92;0;0;0,2;9;;
16642;1975;1;19;9;1.024,7;-2,4;-3,2;;;84;0;0;0,1;9;;
16642;1975;1;19;12;1.021,7;3,8;2,4;;;76;0;0;25;0;;
16642;1975;1;19;15;1.021,1;8;5,6;;;68;0;0;25;0;;
16642;1975;1;19;18;1.023,7;3,2;2;8;;79;0;0;15;0;;
16642;1975;1;20;6;1.027,1;-1,4;-1,6;;-2,4;96;0;0;0,2;9;;
16642;1975;1;20;9;1.026,9;1;0,2;;;85;0;0;0,2;9;;
16642;1975;1;20;12;1.025,9;3;2,8;;;97;0;0;0,3;9;;
16642;1975;1;20;15;1.024,8;4,2;3,6;;;90;0;0;15;0;;
16642;1975;1;20;18;1.026,5;1;0,6;5,4;;92;0;0;8;0;;
16642;1975;1;21;6;1.028,7;-3,4;-3,8;;-4;91;0;0;0,1;9;;
16642;1975;1;21;9;1.028,8;-2,4;-2,4;;;100;0;0;0,1;9;;
16642;1975;1;21;12;1.025,3;4;3,6;;;93;0;0;10;0;;
16642;1975;1;21;15;1.023,5;7,4;5,4;;;71;0;0;20;0;;
16642;1975;1;21;18;1.024,9;3;2;9;;83;0;0;8;0;;
16642;1975;1;22;6;1.026,8;-4;-4;;-5;100;0;0;0,1;9;;
16642;1975;1;22;9;1.026,7;-2;-2,2;;;96;0;0;0,2;9;;
16642;1975;1;22;12;1.023,6;6,4;4,2;;;67;0;0;20;0;;
16642;1975;1;22;15;1.022;9;6;;;61;0;0;20;0;;
16642;1975;1;22;18;1.023,7;3,4;2,6;9;;87;0;0;10;0;;
16642;1975;1;23;6;1.026;-3;-3;;-4;100;0;0;0,1;9;;
16642;1975;1;23;9;1.026;-2;-2,2;;;96;0;0;0,1;9;;
16642;1975;1;23;12;1.023,2;4,6;3,8;;;87;0;0;8;4;;
16642;1975;1;23;15;1.021,2;8;6;;;72;0;0;15;6;;
16642;1975;1;23;18;1.021,7;7;5;9,4;;71;0;0;8;6;;
16642;1975;1;24;6;1.023,9;-1,6;-1,6;;-2;100;0;0;0,1;9;;
16642;1975;1;24;9;1.024,3;0,4;0;;;92;0;0;0,3;0;;
16642;1975;1;24;12;1.021,6;6,6;5;;;77;0;0;20;4;;
16642;1975;1;24;15;1.019,3;11;7;;;52;0;0;20;3;;
16642;1975;1;24;18;1.021,3;6;4;11;;70;0;0;10;4;;
16642;1975;1;25;6;1.024,3;-2,2;-2,4;;-2,2;96;0;0;0,2;0;;
16642;1975;1;25;9;1.024,1;1,6;0,6;;;82;0;0;0,5;0;;
16642;1975;1;25;12;1.021,1;9,8;6,4;;;56;0;0;25;0;;
16642;1975;1;25;15;1.020,1;12;8;;;54;0;0;15;4;;
16642;1975;1;25;18;1.022;8;5,2;13;;62;0;0;15;0;;
16642;1975;1;26;6;1.024,9;-0,8;-1;;-1,2;96;0;0;0,1;9;;
16642;1975;1;26;9;1.025,2;0,8;0,2;;;88;0;0;0,1;9;;
16642;1975;1;26;12;1.022,1;8;5,4;;;64;0;0;20;2;;
16642;1975;1;26;15;1.021,3;10;7;;;62;0;0;15;2;;
16642;1975;1;26;18;1.022,1;6,2;5,2;13;;85;0;0;10;8;;
16642;1975;1;27;6;1.024,1;-1,8;-2;;-2;96;0;0;0,1;9;;
16642;1975;1;27;9;1.023,7;0,8;0,2;;;88;0;0;0,2;0;;
16642;1975;1;27;12;1.019,3;11;8,4;;;68;0;0;25;0;;
16642;1975;1;27;15;1.017,3;12;7,2;;;45;0;0;25;2;;
16642;1975;1;27;18;1.018,9;6;4,2;13;;73;0;0;10;0;;
16642;1975;1;28;6;1.014,8;3;2,6;;-1,8;93;0;0;7;8;;
16642;1975;1;28;9;1.012,8;5;4,8;;;97;0;0;10;8;;
16642;1975;1;28;12;1.010,4;6,8;6,6;;;97;0;0;4;8;;
16642;1975;1;28;15;1.007,9;7;6,8;;;97;0;0;4;8;;
16642;1975;1;28;18;1.007,9;6,2;6;7,2;;97;0;0;7;8;19,5;
16642;1975;1;29;6;1.005,9;4,4;4,2;;4;97;0;0;10;8;6;
16642;1975;1;29;9;1.006,4;5,4;5;;;94;0;0;5;5;;
16642;1975;1;29;12;1.005,6;8,2;7,6;;;92;0;0;10;8;;
16642;1975;1;29;15;1.005,5;9,2;7,4;;;76;0;0;20;8;;
16642;1975;1;29;18;1.006,7;7;6,6;9,2;;94;0;0;8;8;6,1;
16642;1975;1;30;6;1.009,5;3,2;3;;3;97;0;0;10;8;;
16642;1975;1;30;9;1.009,7;8;5,4;;;64;270;8;25;2;;
16642;1975;1;30;12;1.009,6;10;5,2;;;41;270;10;25;0;;
16642;1975;1;30;15;1.011,6;7;3;;;44;0;0;20;0;;
16642;1975;1;30;18;1.012,7;5,8;2;10,2;;44;0;0;15;0;;
16642;1975;1;31;6;1.015,2;6,8;2,4;;4,6;37;270;15;15;5;;
16642;1975;1;31;9;1.016,4;6;2,6;;;51;20;15;25;2;;
16642;1975;1;31;12;1.016;9,8;5;;;41;0;0;25;2;;
16642;1975;1;31;15;1.018,7;10,6;5,8;;;43;0;0;25;2;;
16642;1975;1;31;18;1.020,7;4,6;2,4;11,5;;65;0;0;25;0;;
16642;1975;2;1;6;1.023,5;-3,2;-3,6;;-3,6;91;0;0;25;0;;
16642;1975;2;1;9;1.022;2,4;1,8;;;89;0;0;25;0;;
16642;1975;2;1;12;1.019,6;10,8;5,6;;;39;0;0;25;0;;
16642;1975;2;1;15;1.018,4;11,4;6,6;;;45;0;0;25;0;;
16642;1975;2;1;18;1.021,2;5;3,2;13;;71;0;0;15;0;;
16642;1975;2;2;6;1.025,7;-3,6;-3,8;;-3,8;96;0;0;25;0;;
16642;1975;2;2;9;1.024,5;4;2,8;;;80;0;0;25;0;;
16642;1975;2;2;12;1.021,5;11;6,2;;;43;0;0;25;0;;
16642;1975;2;2;15;1.019,6;12,6;7,2;;;40;0;0;25;2;;
