STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16726;1980;1;1;6;1.001,2;9,8;6,4;;6,4;56;180;20;6;8;10;
16726;1980;1;1;9;1.004,9;8,2;6,4;;;75;0;0;10;4;;
16726;1980;1;1;12;1.006,4;12,4;7;;;40;320;20;12;5;;
16726;1980;1;1;15;1.009,3;8,8;6,2;;;65;360;20;15;5;;
16726;1980;1;1;18;1.012,4;6,4;5,2;15,4;;82;360;8;12;3;2,4;
16726;1980;1;2;6;1.014,3;4,4;3,8;;3;90;360;5;12;6;;
16726;1980;1;2;9;1.013,6;8;6,8;;;83;0;0;12;7;;
16726;1980;1;2;12;1.009,5;10,8;10,2;;;92;180;8;3;8;;
16726;1980;1;2;15;1.007,5;13;11,8;;;86;180;15;4;8;;
16726;1980;1;2;18;1.007,6;13,4;12;13,6;;84;230;6;15;8;10,9;
16726;1980;1;3;6;1.003,2;9,8;7,8;;3;74;200;8;8;6;6,6;
16726;1980;1;3;9;1.003,6;10,8;8,4;;;70;270;30;5;7;;
16726;1980;1;3;12;1.002,8;8,8;6,6;;;71;290;9;15;6;;
16726;1980;1;3;15;1.004,3;5;4,4;;;90;340;9;4;8;;
16726;1980;1;3;18;1.006,7;3;2,6;14,4;;93;0;0;10;8;9,5;
16726;1980;1;4;6;1.010,7;1,8;1,6;;1;96;0;0;10;8;13;
16726;1980;1;4;9;1.012,1;4,2;3,4;;;87;360;5;10;7;;
16726;1980;1;4;12;1.011,7;5,2;3,2;;;69;320;10;10;6;;
16726;1980;1;4;15;1.012,4;3,4;2,4;;;83;290;5;10;6;;
16726;1980;1;4;18;1.013,6;2,8;2,4;6,6;;93;0;0;10;8;0;
16726;1980;1;5;6;1.016,8;0,4;-0,4;;-1;86;360;4;15;1;;
16726;1980;1;5;9;1.018,1;6,2;2,6;;;49;340;7;20;1;;
16726;1980;1;5;12;1.017,9;8,4;3,2;;;32;340;15;20;0;;
16726;1980;1;5;15;1.018,7;7,6;4;;;51;340;8;20;1;;
