STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16641;1990;1;1;0;1.018;10;6,4;;;54;0;0;10;7;;
16641;1990;1;1;3;1.017,3;10;6,4;;;54;0;0;10;7;;
16641;1990;1;1;6;1.016,3;8;6;11;6;72;0;0;10;6;;
16641;1990;1;1;9;1.016,3;11;7;;;52;0;0;10;5;;
16641;1990;1;1;12;1.015,8;13,4;9,4;;;55;0;0;10;4;;
16641;1990;1;1;15;1.014,7;15,4;9;;;37;0;0;20;3;;
16641;1990;1;1;18;1.014,9;10;6,4;16;8;54;0;0;10;3;;
16641;1990;1;1;21;1.014,9;10;7;;;62;0;0;10;3;;
16641;1990;1;2;0;1.014,1;7,4;6;;;80;0;0;10;3;;
16641;1990;1;2;3;1.014,6;5,6;4,6;;;85;0;0;10;4;;
16641;1990;1;2;6;1.014,7;2;1,6;10;2;93;0;0;15;4;;
16641;1990;1;2;9;1.014,9;15;8;;;30;0;0;20;4;;
16641;1990;1;2;12;1.013,7;14,4;10;;;54;0;0;20;4;;
16641;1990;1;2;15;1.013,7;12;10;;;76;0;0;20;4;;
16641;1990;1;2;18;1.013,7;7;6,6;17,2;1,8;94;0;0;10;3;;
16641;1990;1;2;21;1.013,8;7;6,6;;;94;0;0;10;3;;
16641;1990;1;3;0;1.013,7;4,6;4;;;90;0;0;10;1;;
16641;1990;1;3;3;1.013,4;3;2,4;;;89;0;0;10;3;;
16641;1990;1;3;6;1.013,1;3,2;2,6;7;2,8;90;0;0;10;3;;
16641;1990;1;3;9;1.013,1;11;9;;;75;0;0;10;5;;
16641;1990;1;3;12;1.013,3;11,8;8,6;;;63;0;0;15;6;;
16641;1990;1;3;15;1.012,7;11;8,4;;;68;0;0;15;4;;
16641;1990;1;3;18;1.013,6;7,6;6,4;11,8;3,2;83;0;0;15;3;;
16641;1990;1;3;21;1.014,1;4,4;4;;;93;0;0;10;0;;
16641;1990;1;4;0;1.014,1;4,4;4;;;93;0;0;10;2;;
16641;1990;1;4;3;1.014,9;3,4;2,8;;;90;130;5;10;1;;
16641;1990;1;4;6;1.017;9,4;6;9,6;3,2;56;130;8;10;7;;
16641;1990;1;4;9;1.019,7;10;6,2;;;52;140;8;10;7;;
16641;1990;1;4;12;1.020,2;12;7;;;43;140;6;20;3;;
16641;1990;1;4;15;1.021,1;9,8;5,6;;;48;0;0;20;3;;
16641;1990;1;4;18;1.022,6;8,4;3,8;12,2;8,4;40;100;5;10;5;;
16641;1990;1;4;21;1.024,4;7,4;4,4;;;57;100;6;10;2;;
16641;1990;1;5;0;1.025,1;7;2,8;;;42;90;5;10;0;;
16641;1990;1;5;3;1.025,1;6,2;2,4;;;44;0;0;10;0;;
16641;1990;1;5;6;1.025,4;1;-1,8;8,4;1;52;0;0;15;1;;
16641;1990;1;5;9;1.027;10;4,4;;;39;140;5;20;5;;
16641;1990;1;5;12;1.025,8;13,2;5,4;;;17;0;0;20;3;;
16641;1990;1;5;15;1.025,3;9,8;4,4;;;33;0;0;20;3;;
16641;1990;1;5;18;1.025,8;5;3;13,4;1;69;0;0;20;2;;
16641;1990;1;5;21;1.026,7;1,4;0,4;;;81;0;0;10;7;;
16641;1990;1;6;0;1.026,9;1,6;0,6;;;82;0;0;10;6;;
16641;1990;1;6;3;1.026,6;0,4;-0,2;;;89;0;0;10;3;;
16641;1990;1;6;6;1.027;0;-0,6;5;0;89;0;0;20;2;;
16641;1990;1;6;9;1.028,4;8,4;3,2;;;32;0;0;20;0;;
16641;1990;1;6;12;1.028,4;9,8;4,4;;;33;0;0;20;4;;
16641;1990;1;6;15;1.027,7;9,6;5;;;42;0;0;20;0;;
16641;1990;1;6;18;1.028,6;3;2;10;0;83;0;0;20;0;;
