STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16648;1985;1;1;0;1.015,1;4,6;3;;;74;360;14;10;8;;
16648;1985;1;1;3;1.014,6;4,4;3;;;77;360;10;12;8;;
16648;1985;1;1;6;1.014;3,8;3,2;5,2;3,6;90;340;8;15;8;0;
16648;1985;1;1;9;1.012,6;5,4;3;;;63;320;8;10;7;;
16648;1985;1;1;12;1.010,5;6,2;3,4;;;58;350;8;10;8;;
16648;1985;1;1;15;1.009,6;5,8;3,6;;;67;0;0;12;5;;
16648;1985;1;1;18;1.009,7;3,6;2,4;6,6;3,6;79;0;0;12;7;;
16648;1985;1;1;21;1.008,8;3,2;2,4;;;86;0;0;10;8;;
16648;1985;1;2;0;1.007,9;3,2;2,4;;;86;0;0;10;8;;
16648;1985;1;2;3;1.006,7;2,8;2,2;;;89;0;0;10;8;;
16648;1985;1;2;6;1.005,3;2,2;2;3,6;2;96;0;0;10;7;;
16648;1985;1;2;9;1.005,8;4,4;3,2;;;80;0;0;10;2;;
16648;1985;1;2;12;1.002,7;8;5,6;;;68;0;0;15;2;;
16648;1985;1;2;15;1.001,1;8,6;7;;;78;90;10;15;6;;
16648;1985;1;2;18;999,8;7,8;6,8;9,4;2,2;86;0;0;10;8;0;
16648;1985;1;2;21;998,4;4,8;4,6;;;97;0;0;10;8;0,9;
16648;1985;1;3;0;997,8;4,6;4,6;;;100;0;0;8;8;3,6;
16648;1985;1;3;3;997,8;6;5,2;;;88;250;7;12;2;0,8;
16648;1985;1;3;6;999,1;4,2;4;7,8;4;97;0;0;20;4;5,3;
16648;1985;1;3;9;1.000,2;8;6;;;72;270;5;20;7;;
16648;1985;1;3;12;998,7;10,4;7;;;58;240;8;20;6;;
16648;1985;1;3;15;1.000;8;6;;;72;0;0;20;6;;
16648;1985;1;3;18;1.001,7;5,8;5,2;10,8;4,2;91;240;8;15;8;0;
16648;1985;1;3;21;1.002,4;3,4;3;;;93;0;0;15;6;0;
16648;1985;1;4;0;1.002,7;1;1;;;100;0;0;15;5;;
16648;1985;1;4;3;1.003;2,4;2,4;;;100;0;0;7;6;0,6;
16648;1985;1;4;6;1.004,2;1,8;1,8;5,8;0,8;100;0;0;5;7;0,6;
16648;1985;1;4;9;1.004,7;4;4;;;100;0;0;7;7;0;
16648;1985;1;4;12;1.003,7;7,8;6;;;75;0;0;15;7;0,3;
16648;1985;1;4;15;1.003,8;7,8;6;;;75;0;0;20;3;;
16648;1985;1;4;18;1.004,6;2,2;1,8;9;1,8;93;0;0;15;1;0,3;
16648;1985;1;4;21;1.006,5;0,4;0;;;92;0;0;10;3;;
16648;1985;1;5;0;1.006,9;-0,2;-0,2;;;100;0;0;10;2;;
16648;1985;1;5;3;1.006,2;-0,2;-0,2;;;100;0;0;10;6;;
16648;1985;1;5;6;1.006,5;-0,2;-0,2;2,2;-1,6;100;0;0;5;3;;
16648;1985;1;5;9;1.006,1;5,8;5,2;;;91;0;0;20;5;;
16648;1985;1;5;12;1.003,7;10,6;8,2;;;70;0;0;15;6;;
16648;1985;1;5;15;1.002,9;10,8;9;;;78;0;0;15;7;0;
16648;1985;1;5;18;1.002,5;7,2;6,4;11,6;-0,2;88;0;0;10;3;0;
16648;1985;1;5;21;1.002;4,2;4;;;97;0;0;10;3;;
16648;1985;1;6;0;1.001,7;12,8;8,2;;;48;170;14;10;7;;
16648;1985;1;6;3;1.002;10,2;7,8;;;70;0;0;20;5;;
16648;1985;1;6;6;1.001,8;9,8;7,4;13;2,8;69;160;10;20;4;;
16648;1985;1;6;9;1.001,7;15,2;10,2;;;49;160;15;20;6;;
16648;1985;1;6;12;1.000,6;16,4;11;;;47;150;12;20;6;;
16648;1985;1;6;15;999,7;15,2;10,2;;;49;160;12;20;5;;
16648;1985;1;6;18;999,4;12,4;10;17,8;9,8;72;130;8;20;6;;
16648;1985;1;6;21;998,7;11,2;9,2;;;75;210;10;20;8;0;
16648;1985;1;7;0;998,7;10;8,4;;;79;360;7;10;7;0;
16648;1985;1;7;3;998,7;7,2;6,6;;;91;360;6;10;3;0;
16648;1985;1;7;6;999,3;4,8;4,6;12,4;4,6;97;0;0;15;1;0;
16648;1985;1;7;9;1.001,4;11;9;;;75;0;0;20;1;;
16648;1985;1;7;12;1.001;15,8;11,2;;;53;260;4;20;3;;
16648;1985;1;7;15;1.003;14,2;10,2;;;57;260;6;20;4;;
16648;1985;1;7;18;1.004,4;9,8;7,6;17;4,8;72;250;5;15;3;;
16648;1985;1;7;21;1.005,4;8;7;;;86;0;0;10;6;;
16648;1985;1;8;0;1.007,9;7,8;6,8;;;86;240;6;15;1;;
16648;1985;1;8;3;1.008,8;3,8;3,2;;;90;0;0;15;1;;
16648;1985;1;8;6;1.008,8;3,4;3;9,8;2,6;93;0;0;15;4;;
16648;1985;1;8;9;1.008,6;7;6;;;85;0;0;15;8;0,3;
16648;1985;1;8;12;1.003,7;11;9,2;;;78;300;4;15;8;0;
16648;1985;1;8;15;1.000,6;11;10;;;88;0;0;15;8;0;
16648;1985;1;8;18;999,4;14,8;11,4;15,6;3,4;64;170;14;15;8;3;
16648;1985;1;8;21;1.000;11,4;10,8;;;93;0;0;15;8;2,6;
16648;1985;1;9;0;1.000,6;11,2;10,8;;;95;0;0;12;8;0,1;
16648;1985;1;9;3;1.001;8,4;8,4;;;100;270;6;0,6;2;;
16648;1985;1;9;6;1.002,7;5,4;5,4;14,8;5,4;100;0;0;0,7;3;2,7;
16648;1985;1;9;9;1.004,7;9,8;9,4;;;95;0;0;10;2;;
16648;1985;1;9;12;1.003,9;14,8;10;;;50;220;8;30;2;;
16648;1985;1;9;15;1.003;13,6;9,8;;;59;150;6;20;3;;
16648;1985;1;9;18;1.003,9;7,8;6;15,4;5,2;75;180;6;15;3;;
16648;1985;1;9;21;1.004,4;7,8;5,8;;;72;230;6;15;3;;
16648;1985;1;10;0;1.004,6;6;4,4;;;76;240;8;15;3;;
16648;1985;1;10;3;1.005,1;3,6;2,4;;;79;230;6;15;4;;
16648;1985;1;10;6;1.006;3,2;2,4;8,2;3;86;0;0;15;3;;
16648;1985;1;10;9;1.007,5;8;6;;;72;0;0;15;2;;
16648;1985;1;10;12;1.006,7;11;6,4;;;45;230;12;15;2;;
16648;1985;1;10;15;1.007,8;8;5;;;59;220;13;15;5;;
16648;1985;1;10;18;1.010,2;4,6;3;11,4;3,2;74;260;6;15;0;;
16648;1985;1;10;21;1.012,3;2,4;0;;;58;0;0;15;0;;
16648;1985;1;11;0;1.014,1;0;-1;;;82;0;0;10;1;;
16648;1985;1;11;3;1.013,3;-1;-1;;;100;0;0;7;6;;
16648;1985;1;11;6;1.014,4;1,8;1,2;4,6;-1,4;89;270;5;3;8;0;
16648;1985;1;11;9;1.016,3;1,2;1,2;;;100;0;0;5;4;0,8;
16648;1985;1;11;12;1.016;4;3,4;;;90;0;0;10;6;;
16648;1985;1;11;15;1.017,1;3,4;2,4;;;83;70;6;10;2;;
16648;1985;1;11;18;1.019,3;0,4;-0,4;4,4;0,4;86;0;0;10;0;0,8;
16648;1985;1;11;21;1.020,7;-0,8;-1,4;;;89;0;0;10;0;;
16648;1985;1;12;0;1.021,6;-1;-1,8;;;84;0;0;8;3;;
16648;1985;1;12;3;1.021,4;-1,8;-2,2;;;92;0;0;8;3;;
16648;1985;1;12;6;1.022,7;-3;-3,2;0,4;-3,4;96;0;0;6;5;;
16648;1985;1;12;9;1.023,3;0,4;-1,2;;;72;0;0;8;6;;
16648;1985;1;12;12;1.022,1;3,2;1,2;;;66;0;0;8;8;;
16648;1985;1;12;15;1.022;2,4;0,6;;;69;0;0;8;4;;
16648;1985;1;12;18;1.023,1;1;-0,4;3,6;-3;76;0;0;8;7;;
16648;1985;1;12;21;1.024;1;-0,4;;;76;0;0;8;7;;
16648;1985;1;13;0;1.024,3;0,8;-0,4;;;79;0;0;8;7;;
16648;1985;1;13;3;1.024,6;0,8;-0,4;;;79;0;0;8;7;;
16648;1985;1;13;6;1.024,7;0,8;-0,4;3,6;0,6;79;0;0;5;8;;
16648;1985;1;13;9;1.025,4;2,2;0,6;;;72;0;0;5;8;;
16648;1985;1;13;12;1.023,4;3,2;1,6;;;73;0;0;6;8;;
16648;1985;1;13;15;1.022,5;3,4;2,2;;;79;0;0;6;8;;
16648;1985;1;13;18;1.021,7;2,6;2;3,6;0,8;89;220;5;6;8;0;
16648;1985;1;13;21;1.021,6;0,6;0,6;;;100;0;0;3;8;1,3;
16648;1985;1;14;0;1.019,3;1,2;1;;;96;0;0;6;8;1,7;
16648;1985;1;14;3;1.018,1;1,2;1,2;;;100;0;0;6;8;2,4;
