STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16650;1980;1;1;0;991,2;15,8;14,2;;;83;180;45;10;8;;
16650;1980;1;1;3;990,9;11,8;9,8;;;76;180;45;10;7;;
16650;1980;1;1;6;992,3;12,2;8,6;;7;59;180;30;10;6;8,2;
16650;1980;1;1;9;992,9;12,2;8,6;;;59;230;35;10;6;;
16650;1980;1;1;12;993,9;11,6;9;;;69;250;25;10;4;;
16650;1980;1;1;15;999,1;9,4;5,6;;;52;270;20;10;3;;
16650;1980;1;1;18;1.004,1;7;4,2;16;;60;290;15;10;3;0,3;
16650;1980;1;1;21;1.008,5;7;3,6;;;53;270;8;10;1;;
16650;1980;1;2;0;1.011,5;6,4;3,6;;;60;290;20;10;2;;
16650;1980;1;2;3;1.012,7;5;2,4;;;59;0;0;15;2;;
16650;1980;1;2;6;1.014,1;2,6;1,4;;2;79;0;0;15;6;;
16650;1980;1;2;9;1.013,6;9,4;5,2;;;46;0;0;10;6;;
16650;1980;1;2;12;1.010,9;10,8;8,6;;;73;160;10;15;7;;
16650;1980;1;2;15;1.008,1;9,6;8,6;;;87;160;20;7;8;;
16650;1980;1;2;18;1.004,3;12,2;11,2;12,2;;88;180;40;9;8;10;
16650;1980;1;2;21;1.002,7;13,4;12,4;;;88;200;25;12;7;;
16650;1980;1;3;0;1.001,3;13,2;10;;;64;230;10;15;4;;
16650;1980;1;3;3;996,7;14,2;12,4;;;80;200;30;10;8;;
16650;1980;1;3;6;994,3;14,4;12,6;;6,8;80;200;35;10;7;;
16650;1980;1;3;9;995,9;13;11,4;;;81;200;25;9;5;;
16650;1980;1;3;12;994,9;13,6;10;;;61;230;30;12;2;;
16650;1980;1;3;15;996,8;11,2;7,8;;;60;250;15;15;6;;
16650;1980;1;3;18;997,9;7,6;6,6;14,6;;86;270;6;7;6;5,2;
16650;1980;1;3;21;999,9;6,8;5;;;74;320;8;10;4;;
16650;1980;1;4;0;1.001,7;5,4;4,2;;;81;0;0;10;7;;
16650;1980;1;4;3;1.002,1;3;2;;;83;270;5;10;5;;
16650;1980;1;4;6;1.004,9;2,2;0,6;;1;72;0;0;10;6;0;
16650;1980;1;4;9;1.006;5,4;2;;;49;290;14;10;5;;
16650;1980;1;4;12;1.006,3;4,8;3;;;71;340;10;10;8;;
16650;1980;1;4;15;1.008,4;1,4;1,2;;;96;360;15;8;8;;
