STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16734;1990;1;1;0;1.015,9;9,2;6,2;;;61;90;8;20;2;;
16734;1990;1;1;3;1.014,5;11,6;7,6;;;54;120;6;20;6;;
16734;1990;1;1;6;1.014,7;8,6;7,6;11,8;6,6;87;20;6;15;8;1,4;
16734;1990;1;1;9;1.015,8;9,8;9;;;90;90;6;10;8;0,7;
16734;1990;1;1;12;1.012,6;12,2;9,6;;;70;90;10;20;8;0;
16734;1990;1;1;15;1.012,6;10,8;8,2;;;68;20;7;20;8;;
16734;1990;1;1;18;1.013;9,6;7,2;12,6;8,6;69;20;8;20;8;0,7;
16734;1990;1;1;21;1.013,6;9,4;7,2;;;71;50;7;20;8;;
16734;1990;1;2;0;1.012,2;10;7,2;;;64;20;8;20;7;;
16734;1990;1;2;3;1.011,9;9,2;7,6;;;79;50;7;20;7;;
16734;1990;1;2;6;1.012,4;10;7,4;10,6;8,6;67;50;7;20;7;;
16734;1990;1;2;9;1.014;13,4;10;;;62;0;0;20;7;;
16734;1990;1;2;12;1.012,6;13,4;10,4;;;66;0;0;20;7;;
16734;1990;1;2;15;1.013;12,6;10,2;;;72;0;0;20;7;;
16734;1990;1;2;18;1.013,6;11,6;9,8;14,4;10;78;0;0;20;6;;
16734;1990;1;2;21;1.013,6;10,8;9,4;;;82;20;4;20;6;;
16734;1990;1;3;0;1.012,7;10,4;9,2;;;85;50;4;20;2;;
16734;1990;1;3;3;1.012,2;10,2;9;;;85;70;4;20;5;;
16734;1990;1;3;6;1.011,9;9,8;8;12;9,6;77;50;6;20;7;;
16734;1990;1;3;9;1.012,6;11,2;9;;;73;70;5;20;8;;
16734;1990;1;3;12;1.011,8;11,8;9,2;;;69;0;0;15;8;;
16734;1990;1;3;15;1.012,6;10,8;9,4;;;82;0;0;15;8;;
16734;1990;1;3;18;1.013,6;10,2;9,4;12;9,8;90;50;6;10;8;0,5;
16734;1990;1;3;21;1.014,5;10,6;9,8;;;90;160;6;10;8;0,3;
16734;1990;1;4;0;1.015;9,4;9;;;95;0;0;10;8;4,9;
16734;1990;1;4;3;1.015,8;9;8,8;;;97;50;6;10;8;1,4;
16734;1990;1;4;6;1.016,7;8,8;8,4;10,8;8,4;94;50;6;15;8;7,2;
16734;1990;1;4;9;1.019,3;7,8;7,4;;;94;50;7;8;8;5,3;
16734;1990;1;4;12;1.019,1;9,6;8;;;79;0;0;20;7;0,4;
16734;1990;1;4;15;1.019,7;9,2;6,4;;;63;20;5;20;7;;
16734;1990;1;4;18;1.021,3;7,8;4,2;11;7,6;51;50;12;20;8;5,7;
16734;1990;1;4;21;1.022,7;6,4;3;;;51;50;10;20;8;;
16734;1990;1;5;0;1.023,1;5,2;2;;;51;0;0;20;7;;
16734;1990;1;5;3;1.023,3;4,2;1,4;;;54;20;5;20;6;;
16734;1990;1;5;6;1.023,5;4,4;1,4;7,8;2,8;52;50;8;20;6;;
16734;1990;1;5;9;1.024,4;7;3,4;;;49;50;8;20;8;;
16734;1990;1;5;12;1.023,4;7,8;3,4;;;40;50;10;20;8;;
16734;1990;1;5;15;1.023,3;5,4;2,2;;;51;50;8;20;7;;
16734;1990;1;5;18;1.023,7;3,8;0,6;8;3,4;49;50;10;20;8;;
16734;1990;1;5;21;1.024,3;3,2;0,2;;;49;50;10;20;6;;
16734;1990;1;6;0;1.024,3;1,8;-0,4;;;64;50;8;20;2;;
16734;1990;1;6;3;1.024,2;0,6;-1;;;72;50;8;20;2;;
16734;1990;1;6;6;1.025,3;2,4;0,6;4;0,4;69;50;8;20;6;;
16734;1990;1;6;9;1.026,2;9;4,4;;;40;70;5;20;5;;
16734;1990;1;6;12;1.025,3;10,8;6;;;43;0;0;20;7;;
16734;1990;1;6;15;1.026;8,8;5,8;;;61;0;0;20;7;;
16734;1990;1;6;18;1.026,9;6,4;3,6;12,6;2,4;60;50;8;20;7;;
