STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16738;1980;1;1;0;1.000,5;14,8;12,4;;;74;230;36;10;6;;
16738;1980;1;1;3;999,7;10,6;9,2;;;82;250;34;6;8;;
16738;1980;1;1;6;1.000,1;11;8,6;;8,4;71;250;36;12;4;4,4;
16738;1980;1;1;9;1.002,7;9;6,8;;;71;230;40;12;6;;
16738;1980;1;1;12;1.002,9;11;8,6;;;71;270;40;12;2;;
16738;1980;1;1;15;1.005,3;11;7,4;;;56;290;36;15;5;;
16738;1980;1;1;18;1.009,3;10;6,4;15;;54;290;26;12;2;3,6;
16738;1980;1;1;21;1.012,4;10;6,4;;;54;290;20;10;4;;
16738;1980;1;2;0;1.013,6;10,4;6,6;;;54;290;19;12;6;;
16738;1980;1;2;3;1.013,6;10;6;;;50;290;16;12;6;;
16738;1980;1;2;6;1.014,5;9;5,6;;8,3;56;290;8;12;6;;
16738;1980;1;2;9;1.014,3;13,2;9,2;;;55;270;5;15;5;;
16738;1980;1;2;12;1.012;14,6;10,4;;;55;230;6;15;2;;
16738;1980;1;2;15;1.010,3;12;9,6;;;72;230;16;10;7;;
16738;1980;1;2;18;1.008,5;13;11,4;15,7;;81;250;24;10;7;2,7;
16738;1980;1;2;21;1.007,5;13,2;11,6;;;82;250;24;10;7;;
16738;1980;1;3;0;1.005,3;12,8;11,6;;;86;250;26;10;6;;
16738;1980;1;3;3;1.001,7;13,8;12,6;;;87;250;42;10;3;;
16738;1980;1;3;6;1.002,5;11;10;;8;88;250;38;6;8;7,9;
16738;1980;1;3;9;1.002,7;12;10,4;;;81;290;36;12;6;;
16738;1980;1;3;12;1.001,5;11,6;8,8;;;67;270;38;12;6;;
16738;1980;1;3;15;1.002,1;8;6;;;72;270;36;12;2;;
16738;1980;1;3;18;1.002,4;8;5,6;14,1;;68;270;42;10;3;1,8;
16738;1980;1;3;21;1.005,3;7;5,2;;;74;290;24;10;5;;
16738;1980;1;4;0;1.005,3;7,2;5;;;69;270;22;10;7;;
16738;1980;1;4;3;1.005,3;7;4,6;;;66;270;28;10;8;;
16738;1980;1;4;6;1.006,3;6,8;4,4;;5,7;65;290;20;10;6;;
16738;1980;1;4;9;1.008,7;6,8;4,4;;;65;320;16;12;6;;
16738;1980;1;4;12;1.008,4;7,2;4,8;;;66;320;12;12;6;;
16738;1980;1;4;15;1.008,8;7;4;;;57;320;12;12;2;;
16738;1980;1;4;18;1.010,5;6,6;3,2;8,7;;51;320;12;12;3;;
16738;1980;1;4;21;1.011,7;5,6;2,4;;;51;320;9;12;4;;
16738;1980;1;5;0;1.012,3;5,6;2,4;;;51;320;18;10;3;;
16738;1980;1;5;3;1.013,2;4,7;1,7;;;54;320;16;12;3;;
16738;1980;1;5;6;1.014,9;4,4;1,6;;3,4;56;320;20;12;3;;
16738;1980;1;5;9;1.016,5;6;2,6;;;51;320;18;15;2;;
16738;1980;1;5;12;1.017,1;5,2;2;;;51;320;16;15;2;;
16738;1980;1;5;15;1.017,9;4,6;1,4;;;49;360;16;12;1;;
16738;1980;1;5;18;1.019,2;4,8;1,6;6,6;;51;320;8;10;1;;
