STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16667;1995;1;1;6;1.009;16,6;15;16,6;15,8;83;210;20;10;4;;
16667;1995;1;1;9;1.010,2;17,4;15,6;;;82;200;14;10;7;;
16667;1995;1;1;12;1.007,9;18;15,8;;;79;230;18;10;7;;
16667;1995;1;1;15;1.007,7;17,2;15,4;;;82;210;18;10;6;;
16667;1995;1;1;18;1.007,5;17,2;15,4;18;16,6;82;220;18;10;4;;
16667;1995;1;2;6;1.006,4;17,4;14,6;17,6;16,8;73;220;26;10;7;;
16667;1995;1;2;9;1.007,2;18;15;;;71;230;18;12;6;;
16667;1995;1;2;12;1.007,4;17,4;14,8;;;74;150;20;15;7;;
16667;1995;1;2;15;1.008;17,8;14,8;;;71;150;18;15;7;;
16667;1995;1;2;18;1.008,7;18;14,8;18;17;69;170;16;20;7;;
16667;1995;1;3;6;1.009;16,6;13,8;18,2;15,6;72;190;32;10;8;0,9;
16667;1995;1;3;9;1.009,5;17;14,6;;;76;170;21;15;8;;
16667;1995;1;3;12;1.007,4;17,8;14,8;;;71;190;20;15;8;;
16667;1995;1;3;15;1.007;17;14,2;;;72;180;16;15;8;;
16667;1995;1;3;18;1.007,2;15,4;14,2;18;15,4;87;180;18;7;8;5;
16667;1995;1;4;6;1.007,2;12,8;11,2;15,4;11,2;81;190;16;10;7;27,3;
16667;1995;1;4;9;1.008;12,4;11;;;83;190;16;10;8;2,6;
16667;1995;1;4;12;1.007,5;12,3;11;;;83;0;0;10;7;4;
16667;1995;1;4;15;1.008,5;10,2;9,2;;;87;270;4;15;6;;
16667;1995;1;4;18;1.009,7;10,4;9,4;13;10;87;270;6;10;8;6,7;
16667;1995;1;5;6;1.015,4;12,6;9,8;13,8;8,8;68;200;16;12;7;0;
16667;1995;1;5;9;1.017,5;13,4;10,6;;;69;270;8;12;7;;
16667;1995;1;5;12;1.017,7;11,8;10,2;;;81;0;0;10;7;6,1;
16667;1995;1;5;15;1.019,7;11;10,2;;;90;0;0;15;6;;
16667;1995;1;5;18;1.021,4;9;8,2;14;8,8;89;240;4;15;6;6,1;
16667;1995;1;6;6;1.018,7;11,4;10,4;14;8,4;88;130;14;10;8;6,7;
16667;1995;1;6;9;1.019;11,4;10,8;;;93;150;18;8;8;10,6;
16667;1995;1;6;12;1.017,7;12,6;11,2;;;83;140;14;10;7;2,6;
16667;1995;1;6;15;1.017,5;12;11;;;88;230;20;6;7;1,4;
16667;1995;1;6;18;1.018,5;12,4;11,4;13;11;88;180;4;8;8;17,4;
16667;1995;1;7;6;1.018,5;10,2;9,2;12,8;10;87;190;18;12;8;1,3;
16667;1995;1;7;9;1.019,7;12;10,2;;;78;180;12;30;6;0,6;
16667;1995;1;7;12;1.018,9;12,4;10,4;;;76;180;10;20;7;;
16667;1995;1;7;15;1.019,5;13;11;;;77;180;6;20;7;;
16667;1995;1;7;18;1.021,5;10,6;10;13,5;10,2;92;0;0;15;7;4,5;
