STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16732;1985;1;1;0;1.006,6;11,2;10,2;;;88;20;16;12;8;1,6;
16732;1985;1;1;3;1.005,4;11,2;10,2;;;88;20;26;12;8;0,4;
16732;1985;1;1;6;1.005,1;11,3;10;12;10,2;83;10;22;12;7;3,6;
16732;1985;1;1;9;1.005,1;11,5;10,3;;;85;360;18;15;8;1,6;
16732;1985;1;1;12;1.004;11,7;10;;;81;360;20;15;7;0,6;
16732;1985;1;1;15;1.004,3;11,5;10;;;81;360;15;15;7;;
16732;1985;1;1;18;1.004,4;11,5;9,9;12,2;10;81;360;17;12;7;2,2;
16732;1985;1;1;21;1.004,6;11,4;10;;;83;350;18;12;8;0,1;
16732;1985;1;2;0;1.005;11,3;9,3;;;75;350;10;15;5;;
16732;1985;1;2;3;1.004,6;11;8,6;;;71;340;8;15;3;;
16732;1985;1;2;6;1.005,7;8,7;7,3;11,6;8,5;81;0;0;25;2;0,1;
16732;1985;1;2;9;1.006,1;12,3;9,5;;;68;0;0;25;4;;
16732;1985;1;2;12;1.005,4;12,8;10;;;68;0;0;20;1;;
16732;1985;1;2;15;1.005,7;12,4;9,5;;;66;180;6;25;1;;
16732;1985;1;2;18;1.006;9,6;8;14;8,3;79;160;6;15;0;;
16732;1985;1;2;21;1.004,7;13,7;11,1;;;71;180;15;15;8;;
16732;1985;1;3;0;1.004,8;12,5;10,7;;;79;190;18;15;4;2,6;
16732;1985;1;3;3;1.004,2;12,2;11,6;;;93;200;24;12;4;2,4;
16732;1985;1;3;6;1.004,3;14,4;12,4;14,4;9,5;78;200;24;15;4;5,3;
16732;1985;1;3;9;1.005,3;13,5;12,1;;;84;210;20;20;6;0,1;
16732;1985;1;3;12;1.004,8;15,2;13;;;77;230;16;20;3;0,6;
16732;1985;1;3;15;1.005,1;14,5;12,7;;;80;200;18;20;6;;
16732;1985;1;3;18;1.005,6;13,5;12,7;15,8;11,8;91;220;20;20;8;4,7;
16732;1985;1;3;21;1.006,1;14;12;;;78;220;16;15;2;0,5;
16732;1985;1;4;0;1.006,7;14;12;;;78;230;12;15;3;;
16732;1985;1;4;3;1.005,8;13,8;11,5;;;74;220;12;15;3;;
16732;1985;1;4;6;1.007,1;14;11,7;14,4;12,8;74;220;8;15;6;0,5;
16732;1985;1;4;9;1.007,1;14,4;11,6;;;70;220;12;25;6;2,2;
16732;1985;1;4;12;1.006,1;14,3;12,3;;;78;220;20;20;4;4,3;
16732;1985;1;4;15;1.006,4;14;12;;;78;220;18;25;5;;
16732;1985;1;4;18;1.007,3;14;11,4;15,4;11,8;71;220;16;15;6;6,5;
16732;1985;1;4;21;1.008,4;13,5;10,2;;;62;220;10;15;4;;
16732;1985;1;5;0;1.009,6;13,4;9,5;;;57;220;12;15;1;;
16732;1985;1;5;3;1.009,1;13,3;9,7;;;61;220;8;15;2;;
16732;1985;1;5;6;1.011,1;14;11;14,3;12,3;67;210;12;15;5;;
16732;1985;1;5;9;1.011,7;16;13;;;69;210;16;20;4;;
16732;1985;1;5;12;1.010,6;14,5;13,2;;;85;210;12;20;6;1,8;
16732;1985;1;5;15;1.010,9;15,8;14,2;;;83;200;14;20;5;;
16732;1985;1;5;18;1.010,9;16;13,7;16,8;12,8;75;180;18;20;5;1,8;
16732;1985;1;5;21;1.011,1;15,4;13;;;75;180;17;15;5;;
16732;1985;1;6;0;1.011,3;14,8;12,8;;;79;180;12;15;4;;
16732;1985;1;6;3;1.010;15,2;12,4;;;70;180;15;15;8;;
16732;1985;1;6;6;1.010,5;15;12,4;16;14;72;180;15;15;7;;
16732;1985;1;6;9;1.010;16,6;12,6;;;61;180;26;15;2;;
16732;1985;1;6;12;1.008;17,5;13,3;;;59;180;22;15;2;;
16732;1985;1;6;15;1.006,9;16,5;13;;;64;170;24;15;6;;
16732;1985;1;6;18;1.006,5;16,5;13;17,6;14,8;64;160;18;15;5;;
16732;1985;1;6;21;1.006;16,5;13,3;;;68;180;24;15;6;;
16732;1985;1;7;0;1.005,1;16,7;13,1;;;64;180;22;15;7;;
16732;1985;1;7;3;1.005,3;16,5;13,6;;;70;180;10;15;3;;
16732;1985;1;7;6;1.005,8;16,8;13,8;17,4;15,2;70;200;20;15;4;;
16732;1985;1;7;9;1.007;17,2;14,8;;;76;200;20;12;5;;
16732;1985;1;7;12;1.006,7;17,6;15,6;;;80;220;18;12;6;;
16732;1985;1;7;15;1.008,4;16,5;15,3;;;87;220;20;12;6;;
16732;1985;1;7;18;1.010;16,3;15,3;18,2;15,8;89;210;15;12;3;;
16732;1985;1;7;21;1.011;16,4;15,2;;;87;200;22;12;3;;
16732;1985;1;8;0;1.011,9;16,4;15;;;85;200;16;12;1;;
16732;1985;1;8;3;1.013,1;16;15;;;89;210;15;12;7;;
16732;1985;1;8;6;1.013,8;15,4;14;16,5;14,8;85;140;5;7;5;;
16732;1985;1;8;9;1.012,8;17,4;14,6;;;73;160;18;12;5;;
16732;1985;1;8;12;1.010,9;18,5;13,9;;;57;180;22;12;5;;
16732;1985;1;8;15;1.009,6;18,4;13,8;;;57;170;22;12;5;;
16732;1985;1;8;18;1.008,2;18;14;19;15,2;62;160;27;12;7;;
16732;1985;1;8;21;1.006,2;17,5;14,5;;;71;160;30;12;7;;
16732;1985;1;9;0;1.004,3;18;14,6;;;68;160;30;12;7;;
16732;1985;1;9;3;1.005,4;18,4;15;;;68;160;16;12;8;;
16732;1985;1;9;6;1.006,5;17;15,8;18,5;16,8;88;180;8;12;8;;
16732;1985;1;9;9;1.007,5;17,2;16,4;;;92;160;12;12;8;;
16732;1985;1;9;12;1.006,6;16,3;15,5;;;92;190;8;12;8;0,7;
16732;1985;1;9;15;1.007;15,6;14,4;;;87;200;10;12;7;;
16732;1985;1;9;18;1.007,7;15,5;12,8;17,2;14,8;73;200;10;12;7;0,7;
16732;1985;1;9;21;1.007,3;14,8;12,8;;;79;200;8;15;7;;
16732;1985;1;10;0;1.007,7;14,2;12,4;;;80;200;12;15;5;;
16732;1985;1;10;3;1.007,4;14;11,5;;;72;220;8;15;1;;
16732;1985;1;10;6;1.008,8;13,6;9,8;15,6;13,2;59;220;14;15;1;;
16732;1985;1;10;9;1.010,4;14,4;10;;;54;270;8;25;1;;
16732;1985;1;10;12;1.009,8;15,5;11,5;;;60;230;16;25;2;;
16732;1985;1;10;15;1.010,6;14;10,4;;;61;230;10;25;2;;
16732;1985;1;10;18;1.011,7;13,2;4,6;15,6;13;12;230;10;15;1;;
16732;1985;1;10;21;1.012,7;12,8;9,5;;;62;250;8;15;5;;
16732;1985;1;11;0;1.014;12,5;9;;;59;340;10;15;6;;
16732;1985;1;11;3;1.014,6;11,7;8,5;;;63;340;8;15;1;;
16732;1985;1;11;6;1.014,9;8;6;13,2;6;72;140;3;25;1;;
16732;1985;1;11;9;1.015,4;13;9,6;;;62;220;10;25;3;;
16732;1985;1;11;12;1.014,4;11,8;10,2;;;81;200;4;25;3;0,5;
16732;1985;1;11;15;1.015,5;12,5;9,5;;;66;340;16;25;3;;
16732;1985;1;11;18;1.017,4;10,2;7,8;14,8;7,8;70;360;18;15;1;0,5;
16732;1985;1;11;21;1.019,3;9,5;5,5;;;50;360;16;15;2;;
16732;1985;1;12;0;1.019,3;9,5;6,1;;;56;10;14;15;1;;
16732;1985;1;12;3;1.018,5;9,6;6;;;54;10;12;15;0;;
16732;1985;1;12;6;1.019,9;9,7;6,1;10,2;8,8;54;360;10;25;2;;
16732;1985;1;12;9;1.020,6;11;6,6;;;48;360;10;25;5;;
16732;1985;1;12;12;1.019,8;10,2;7;;;60;360;12;25;8;;
16732;1985;1;12;15;1.020,3;10;6,6;;;58;360;6;25;3;;
16732;1985;1;12;18;1.021,6;9,5;6,6;11,4;8,8;62;360;6;25;1;;
16732;1985;1;12;21;1.021,7;9,5;6,5;;;62;10;10;15;1;;
