STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16689;1990;1;1;6;1.013;7,8;6;10;7;75;360;;20;5;;
16689;1990;1;1;12;1.013;13,2;8,6;;;50;320;;20;5;;
16689;1990;1;1;18;;9,8;;15;7,8;0;50;;25;3;;
16689;1990;1;2;6;1.011;5,8;4;9,8;5,6;73;50;;30;1;;
16689;1990;1;2;12;1.011,2;13,2;8,2;;;45;50;;30;2;;
16689;1990;1;2;18;;10;;14,8;5,8;0;50;;20;5;;
16689;1990;1;3;6;1.010,3;6,8;5;10;6,7;74;90;;25;2;;
16689;1990;1;3;12;1.009,7;12,2;8;;;52;90;;20;6;;
16689;1990;1;3;18;;10,8;;12,8;6,8;0;50;;20;5;;
16689;1990;1;4;6;1.015,4;5,8;4,2;10,8;5,6;76;50;;25;2;;
16689;1990;1;4;12;1.017;11,8;7,2;;;47;50;;30;2;;
16689;1990;1;4;18;;7,9;;12,5;5,8;0;90;;25;2;;
16689;1990;1;5;6;1.021,8;5;2,7;7,9;5;66;90;;25;1;;
16689;1990;1;5;12;1.022,1;9,3;4,3;;;36;50;;25;4;;
16689;1990;1;5;18;;6,1;;10;5;14;50;;25;3;;
16689;1990;1;6;6;1.022,9;2,8;1,2;6,1;2,6;72;90;;25;2;;
16689;1990;1;6;12;1.024,6;10;5,5;;;45;50;;25;4;;
16689;1990;1;6;18;;6,2;;10,6;2,8;13;50;;25;2;;
16689;1990;1;7;6;1.025,3;2,7;0,7;6,2;2,7;66;90;;30;1;;
16689;1990;1;7;12;1.028,7;11;5,8;;;39;360;;30;1;;
16689;1990;1;7;18;;6;;11;2,7;14;360;;30;1;;
16689;1990;1;8;6;1.029,9;1,2;-1;6;1;62;90;;25;1;;
16689;1990;1;8;12;1.030,6;12,6;6,2;;;30;140;;30;0;;
16689;1990;1;8;18;;7,3;;13,3;1,2;4;90;;30;1;;
16689;1990;1;9;6;1.031,6;1;-1,2;7,3;0,8;62;50;;30;1;;
16689;1990;1;9;12;1.030,3;12,2;6;;;31;90;;30;1;;
16689;1990;1;9;18;;6;;12,8;1;14;50;;30;1;;
16689;1990;1;10;6;1.027,6;2,2;1,4;6;1,7;85;50;;30;0;;
16689;1990;1;10;12;1.026,8;12,6;6,4;;;31;50;;30;1;;
