STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16749;1975;1;1;0;1.010,7;14,4;13,4;;;89;160;25;8;8;;
16749;1975;1;1;3;1.011,3;13;12;;;88;160;10;10;8;;
16749;1975;1;1;6;1.012,9;12,4;11,6;;12,4;91;140;10;10;7;30;
16749;1975;1;1;9;1.014,9;14,2;12,8;;;85;0;0;20;7;;
16749;1975;1;1;12;1.012,8;17;13;;;61;160;8;20;7;;
16749;1975;1;1;15;1.012,5;15,4;12,2;;;66;160;10;20;5;;
16749;1975;1;1;18;1.012,3;14,2;10,8;17,2;;64;180;10;15;3;1;
16749;1975;1;1;21;1.012,3;13,4;10;;;62;180;10;20;3;;
16749;1975;1;2;0;1.012,5;12,6;9;;;59;200;10;20;8;;
16749;1975;1;2;3;1.010,9;8,6;7;;;78;180;10;20;2;;
16749;1975;1;2;6;1.010,1;8,6;7,6;;8,2;87;0;0;20;3;;
16749;1975;1;2;9;1.009,2;14,4;11,2;;;65;160;16;20;4;;
16749;1975;1;2;12;1.008;10,2;9,2;;;87;0;0;20;7;;
16749;1975;1;2;15;1.008,1;10,4;9;;;82;250;8;10;7;;
16749;1975;1;2;18;1.008,9;9,6;8,2;14,4;;82;0;0;10;7;3,4;
16749;1975;1;2;21;1.008,9;11;9,8;;;85;250;15;10;8;;
16749;1975;1;3;0;1.008,9;8,6;8,2;;;94;0;0;10;5;;
16749;1975;1;3;3;1.008,9;7,8;7,4;;;94;0;0;15;6;;
16749;1975;1;3;6;1.010,3;8,4;7,6;;7,6;89;0;0;10;6;1,8;
16749;1975;1;3;9;1.011,3;13,8;11,2;;;71;20;10;10;6;;
16749;1975;1;3;12;1.010,3;14;11,4;;;71;90;10;10;7;;
16749;1975;1;3;15;1.011,9;10,2;9,4;;;90;90;10;7;7;;
16749;1975;1;3;18;1.012,7;9,8;8,8;14,2;;87;0;0;8;7;4,2;
16749;1975;1;3;21;1.013,2;10,2;9,2;;;87;110;10;8;8;;
