STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16723;1990;1;1;6;1.018,7;7,4;6,6;7,8;6;89;90;14;15;4;;
16723;1990;1;1;9;1.018,5;9;8;;;87;70;12;15;6;;
16723;1990;1;1;12;1.016,6;11;9,4;;;80;50;10;15;8;;
16723;1990;1;1;15;1.015,7;10;8,4;;;79;20;5;15;1;;
16723;1990;1;1;18;1.015,7;9;8;11,6;7,4;87;0;0;15;0;;
16723;1990;1;2;6;1.014,2;9,8;8,8;9,8;6;87;20;6;10;7;;
16723;1990;1;2;9;1.014,5;10,8;9,8;;;88;70;12;8;8;;
16723;1990;1;2;12;1.012,4;11;9;;;75;20;18;10;7;;
16723;1990;1;2;15;1.012,4;10,4;8;;;70;20;16;10;6;;
16723;1990;1;2;18;1.012,8;10,4;8,2;12;9,8;72;20;16;10;7;;
16723;1990;1;3;6;1.011,3;9,8;7,8;10,4;9;74;20;16;10;6;;
16723;1990;1;3;9;1.011,8;10,2;8;;;72;20;18;10;7;;
16723;1990;1;3;12;1.010,5;10,4;7,8;;;68;20;18;10;7;;
16723;1990;1;3;15;1.010,7;9,8;7,8;;;74;20;20;10;6;;
16723;1990;1;3;18;1.011,8;9;7;10,6;9;73;20;20;10;5;;
16723;1990;1;4;6;1.015,8;6;4;9;5,8;70;360;20;10;6;;
16723;1990;1;4;9;1.018,1;6;4;;;70;360;20;10;6;;
16723;1990;1;4;12;1.017,6;7;5;;;71;360;20;10;4;;
16723;1990;1;4;15;1.018,5;5;2;;;54;20;28;15;4;;
16723;1990;1;4;18;1.022,5;2,8;0,6;7,4;2,8;63;360;26;15;3;;
16723;1990;1;4;21;1.023,8;3,4;1;;;60;110;17;15;4;;
16723;1990;1;5;0;1.023,8;3,6;0,6;;;52;320;20;15;3;;
16723;1990;1;5;3;1.024,8;3,2;0,4;;;52;20;25;15;2;;
16723;1990;1;5;6;1.026,9;3;0;4;2;49;90;18;15;2;;
16723;1990;1;5;9;1.028;4;0,4;;;41;360;20;15;2;;
16723;1990;1;5;12;1.026,9;6;1;;;28;360;20;15;3;;
16723;1990;1;5;15;1.025,4;5,2;1;;;37;70;22;15;7;;
16723;1990;1;5;18;1.026;4,4;1,6;6,4;3;56;50;25;15;1;;
16723;1990;1;5;21;1.026;4,6;1,8;;;56;50;22;15;2;;
16723;1990;1;6;0;1.025,6;3,2;0,6;;;57;50;18;15;1;;
16723;1990;1;6;3;1.025,3;2,8;0,2;;;55;50;18;15;0;;
16723;1990;1;6;6;1.026,4;2,8;0,2;4,6;2;55;50;12;15;4;;
16723;1990;1;6;9;1.027,3;5,6;1,6;;;42;20;15;15;4;;
16723;1990;1;6;12;1.025,7;8;3,2;;;36;50;15;15;3;;
16723;1990;1;6;15;1.025,7;7;3;;;44;20;10;15;0;;
16723;1990;1;6;18;1.025,7;6,6;3,6;8,4;2,8;57;20;10;15;0;;
