STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16684;1985;1;1;0;1.013,3;7;5,8;;;83;30;20;8;8;0,5;
16684;1985;1;1;3;1.012,2;6,8;5,8;;;85;30;20;10;8;;
16684;1985;1;1;6;1.011;6,6;5,4;7,8;6,6;82;30;20;10;8;1,1;
16684;1985;1;1;9;1.010,6;7;5,6;;;80;30;20;10;8;;
16684;1985;1;1;12;1.009,3;7;5,6;;;80;30;18;10;8;;
16684;1985;1;1;15;1.009;7;5,4;;;77;20;15;10;8;;
16684;1985;1;1;18;1.009;7;5,4;7;6,6;77;20;15;10;8;;
16684;1985;1;1;21;1.008,4;7,8;5,6;;;70;20;13;10;8;;
16684;1985;1;2;0;1.007,5;7,8;5,8;;;72;30;10;10;8;;
16684;1985;1;2;3;1.006,9;7,2;5,6;;;77;0;0;10;8;0,2;
16684;1985;1;2;6;1.005,7;7,8;5,8;7,8;7;72;0;0;10;8;0,2;
16684;1985;1;2;9;1.006,6;8,2;6,8;;;81;0;0;10;8;0,1;
16684;1985;1;2;12;1.004,2;11,6;8,2;;;60;210;10;10;2;;
16684;1985;1;2;15;1.003;10,6;7,8;;;66;210;15;10;2;;
16684;1985;1;2;18;1.002,7;11;8,6;11,6;7,8;71;210;15;10;2;0,1;
16684;1985;1;2;21;1.000,6;12,6;10;;;70;210;15;10;3;;
16684;1985;1;3;0;999,1;13,2;9,6;;;61;210;20;10;7;;
16684;1985;1;3;3;998;13,2;9,4;;;57;210;20;10;4;;
16684;1985;1;3;6;998,7;13;9;13,6;11;55;210;10;10;3;;
16684;1985;1;3;9;1.001;13,6;9;;;50;240;13;10;1;;
16684;1985;1;3;12;1.000,4;14,8;9;;;41;240;12;10;1;;
16684;1985;1;3;15;1.001,1;13,2;8,6;;;50;270;14;10;7;;
16684;1985;1;3;18;1.002,2;11,4;8,2;14,8;11,4;61;200;10;10;3;0,2;
16684;1985;1;3;21;1.003;11,2;8,2;;;64;210;5;10;4;;
