STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16746;2000;1;1;0;1.016,4;12;9;;;65;280;10;10;3;;
16746;2000;1;1;3;1.017,1;11,8;9,2;;;69;300;8;10;6;;
16746;2000;1;1;6;1.018,6;11,8;8,4;14;11,8;60;290;8;10;7;;
16746;2000;1;1;9;1.019,9;12,6;8,6;;;55;290;6;10;8;;
16746;2000;1;1;12;1.019;12;8,2;;;56;300;14;10;8;;
16746;2000;1;1;15;1.019,4;11,8;7,8;;;54;280;5;10;8;;
16746;2000;1;1;18;1.019,9;10,6;7,8;12,6;10,6;66;0;0;10;8;;
16746;2000;1;1;21;1.019,7;10,6;7;;;56;0;0;10;8;;
16746;2000;1;2;0;1.018,9;10,2;7,2;;;62;0;0;10;5;;
16746;2000;1;2;3;1.018,5;10,2;7,2;;;62;0;0;10;5;;
16746;2000;1;2;6;1.018,7;8,8;7,6;10,6;8,8;84;0;0;10;5;;
16746;2000;1;2;9;1.019;12,6;8,4;;;52;280;6;10;6;;
16746;2000;1;2;12;1.017,7;12,8;9,2;;;59;310;10;10;6;;
16746;2000;1;2;15;1.018;10,4;8,4;;;74;300;10;10;6;;
16746;2000;1;2;18;1.017,8;9;7;12,8;8,8;73;0;0;10;4;;
16746;2000;1;2;21;1.018;7,4;6,8;;;91;0;0;8;8;1,8;
16746;2000;1;3;0;1.018;7;6,8;;;97;0;0;10;8;16,2;
16746;2000;1;3;3;1.017,4;7,8;7,2;;;91;0;0;8;8;7,8;
16746;2000;1;3;6;1.018,6;7,8;6,8;9;6,8;86;30;12;9;8;33,7;
16746;2000;1;3;9;1.020,3;7,8;6;;;75;20;14;9;8;4,1;
16746;2000;1;3;12;1.020,4;6,2;5,2;;;85;10;10;9;8;1,1;
16746;2000;1;3;15;1.020;7,2;4,4;;;60;360;14;10;8;2,3;
16746;2000;1;3;18;1.020,3;6,4;4;8;6,2;65;360;14;10;8;7,5;
16746;2000;1;3;21;1.020,2;6,8;4,2;;;62;360;14;10;6;;
16746;2000;1;4;0;1.020,2;6,6;4,2;;;65;350;12;10;6;0;
16746;2000;1;4;3;1.019,3;6,6;3,8;;;60;320;10;10;6;;
16746;2000;1;4;6;1.019,5;6,4;3,6;6,8;6,4;60;320;8;10;6;0;
16746;2000;1;4;9;1.020,2;7,6;4,4;;;55;330;10;10;6;;
16746;2000;1;4;12;1.018,9;8,2;5,2;;;59;320;10;10;7;;
16746;2000;1;4;15;1.018,4;8;5;;;59;320;10;10;7;;
16746;2000;1;4;18;1.018,6;8,2;5,2;8,2;6,4;59;330;10;10;7;;
16746;2000;1;4;21;1.019;8;5,4;;;64;350;18;10;8;0;
16746;2000;1;5;0;1.018,5;8,2;5;;;57;330;14;10;8;0;
16746;2000;1;5;3;1.018,2;8,2;4,2;;;46;340;12;10;6;;
16746;2000;1;5;6;1.018,7;8,4;5;8,4;8;55;340;12;10;6;0;
16746;2000;1;5;9;1.019,9;9,2;5,2;;;48;320;12;10;5;;
16746;2000;1;5;12;1.018,9;10;5,8;;;48;330;12;10;6;;
16746;2000;1;5;15;1.018,6;9,4;6,6;;;64;320;8;10;6;;
16746;2000;1;5;18;1.019;9,4;6,6;10,8;8,4;64;320;8;10;6;;
16746;2000;1;5;21;1.019,7;9,2;6;;;59;320;8;10;5;;
16746;2000;1;6;0;1.019,7;8;5;;;59;320;4;10;5;;
16746;2000;1;6;3;1.019,5;8,4;6;;;68;0;0;10;4;;
16746;2000;1;6;6;1.019,8;8,4;6,4;9,4;8;72;0;0;10;8;;
16746;2000;1;6;9;1.020,6;10,2;7,6;;;68;350;6;10;7;;
16746;2000;1;6;12;1.019,7;11;8;;;64;320;8;10;7;;
16746;2000;1;6;15;1.019,3;10,6;8,2;;;70;320;6;10;5;;
16746;2000;1;6;18;1.020,4;7,4;6,2;11,4;7,4;83;0;0;10;3;;
16746;2000;1;6;21;1.020,3;7,6;6;;;77;0;0;10;4;;
16746;2000;1;7;0;1.019,9;8,4;6,6;;;76;0;0;10;6;;
16746;2000;1;7;3;1.019,4;8,4;6,4;;;72;0;0;10;6;;
16746;2000;1;7;6;1.020;8,4;6,2;8,4;6,6;70;0;0;10;8;;
16746;2000;1;7;9;1.021,6;9,8;6,8;;;62;20;8;10;8;;
16746;2000;1;7;12;1.021,6;8,2;6,6;;;78;360;8;10;8;1,1;
16746;2000;1;7;15;1.022;7,4;6,4;;;85;0;0;10;8;1,6;
16746;2000;1;7;18;1.022,5;8;6;9,8;7,4;72;30;8;10;6;2,7;
16746;2000;1;7;21;1.023;8,4;6;;;68;20;10;10;6;;
16746;2000;1;8;0;1.022,6;8,2;6,4;;;75;10;8;10;6;;
16746;2000;1;8;3;1.022,9;8,2;7;;;83;10;4;10;6;;
16746;2000;1;8;6;1.023,3;8,2;6,4;8,4;7,8;75;340;8;10;6;0;
16746;2000;1;8;9;1.024,3;8,4;6,4;;;72;10;8;10;6;1;
16746;2000;1;8;12;1.023,3;9,6;6,8;;;64;20;8;10;6;;
16746;2000;1;8;15;1.023,3;8,8;7,4;;;81;0;0;10;6;0;
16746;2000;1;8;18;1.024,3;7,8;6,8;10;7,8;86;10;8;10;7;1,8;
16746;2000;1;8;21;1.024,4;7,8;6,4;;;80;50;6;10;7;0;
16746;2000;1;9;0;1.024;7,6;6,4;;;83;0;0;10;7;;
16746;2000;1;9;3;1.023,7;7,6;6,2;;;80;0;0;10;7;;
16746;2000;1;9;6;1.024,4;6,8;5;7,8;6,8;74;0;0;10;4;0;
16746;2000;1;9;9;1.025,1;11,2;7;;;50;360;6;10;5;;
16746;2000;1;9;12;1.024;11;7;;;52;350;6;10;6;;
16746;2000;1;9;15;1.023,8;10,6;7;;;56;320;5;10;2;;
16746;2000;1;9;18;1.025;6,4;4,8;11,2;6,4;77;0;0;10;2;;
16746;2000;1;9;21;1.025,8;6,8;5;;;74;0;0;10;4;;
16746;2000;1;10;0;1.025,8;5,8;4,2;;;76;0;0;10;2;;
16746;2000;1;10;3;1.026,1;4,8;3,4;;;77;0;0;10;2;;
16746;2000;1;10;6;1.026,9;6,8;5,4;6,8;4,4;79;0;0;10;6;;
16746;2000;1;10;9;1.027,5;10,4;7,4;;;62;30;5;10;5;;
16746;2000;1;10;12;1.026,2;12,2;7,8;;;50;30;4;10;3;;
16746;2000;1;10;15;1.026;11,2;8;;;61;0;0;10;3;;
16746;2000;1;10;18;1.026,5;6,8;5,2;12,4;6,8;77;0;0;10;2;;
16746;2000;1;10;21;1.026,9;7,2;5,8;;;80;0;0;10;3;;
16746;2000;1;11;0;1.026,4;7,8;6;;;75;0;0;10;4;;
16746;2000;1;11;3;1.026,6;7,8;6;;;75;360;4;10;4;;
16746;2000;1;11;6;1.027,4;8,6;6,6;8,6;6,2;73;340;4;10;6;;
16746;2000;1;11;9;1.028,3;11;7,6;;;60;360;6;10;6;;
16746;2000;1;11;12;1.026,9;12,2;7,6;;;48;330;8;10;5;;
16746;2000;1;11;15;1.026,9;10,4;7,4;;;62;360;6;10;5;0;
16746;2000;1;11;18;1.028,3;8,6;7,2;12,6;8,6;81;360;8;10;6;0,3;
16746;2000;1;11;21;1.028,2;9;7,2;;;76;340;8;10;6;0,1;
16746;2000;1;12;0;1.027,8;7,8;6,2;;;77;350;12;10;6;0,3;
16746;2000;1;12;3;1.027,8;7,2;5,6;;;77;360;14;10;5;;
16746;2000;1;12;6;1.027,8;9,6;6,8;9,6;7,2;64;360;14;10;7;0,4;
16746;2000;1;12;9;1.028,7;9,6;6,6;;;62;360;14;10;8;;
16746;2000;1;12;12;1.027,9;9,2;6,6;;;67;360;14;10;8;0;
16746;2000;1;12;15;1.027,5;9,4;6,4;;;61;350;8;10;8;;
16746;2000;1;12;18;1.028,3;9,2;6,6;9,8;8,8;67;360;10;10;8;0,2;
16746;2000;1;12;21;1.028,6;8,2;7;;;83;20;11;8;8;1,5;
16746;2000;1;13;0;1.027,8;8,8;7;;;76;20;12;10;8;0,2;
16746;2000;1;13;3;1.026,5;9,2;6,6;;;67;20;12;10;8;;
16746;2000;1;13;6;1.026,9;9,4;6,6;9,4;8;64;20;10;10;8;1,8;
16746;2000;1;13;9;1.027,5;9,2;7,2;;;73;40;10;8;8;0,1;
16746;2000;1;13;12;1.026,1;8,8;7;;;76;20;10;10;8;1,3;
16746;2000;1;13;15;1.026,1;8,6;7,2;;;81;0;0;10;8;;
16746;2000;1;13;18;1.025,4;9;6,6;9,4;8,6;69;50;8;10;8;1,4;
