STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16622;2000;1;1;0;1.014,9;4,2;2,6;;;74;350;18;20;0;;
16622;2000;1;1;3;1.017,8;4;2;;;67;350;20;20;2;;
16622;2000;1;1;6;1.020;3,4;1,2;4,6;3,2;63;310;15;20;0;0,1;
16622;2000;1;1;9;1.022;4,4;2,2;;;65;340;12;20;1;;
16622;2000;1;1;12;1.022,3;5,4;2,6;;;58;360;9;20;5;;
16622;2000;1;1;15;1.023;4,8;2,4;;;62;350;12;20;5;;
16622;2000;1;1;18;1.024,2;3,6;1,2;6;3,4;60;350;10;20;5;;
16622;2000;1;1;21;1.024,7;3,2;0,8;;;60;360;10;20;5;;
16622;2000;1;2;0;1.024,9;2,2;0;;;61;360;9;20;4;;
16622;2000;1;2;3;1.025,1;1,8;-0,2;;;67;340;14;20;3;;
16622;2000;1;2;6;1.025,1;0,6;-1,4;3,6;0,6;65;250;11;15;2;;
16622;2000;1;2;9;1.026,6;2,2;-0,6;;;54;340;14;15;3;;
16622;2000;1;2;12;1.026;3,8;0,6;;;49;340;12;10;6;;
16622;2000;1;2;15;1.025,6;3;0,6;;;60;350;10;10;6;;
16622;2000;1;2;18;1.027,1;1,8;-0,6;3,8;0,6;60;350;10;10;6;;
16622;2000;1;2;21;1.028,5;1;-1,4;;;60;360;12;15;5;;
16622;2000;1;3;0;1.028,7;0,4;-1,8;;;61;360;10;15;2;;
16622;2000;1;3;3;1.028,9;0,2;-2;;;61;350;14;15;2;;
16622;2000;1;3;6;1.029,5;-0,6;-2,2;1,8;-0,6;70;360;11;15;1;;
16622;2000;1;3;9;1.030,7;1,6;-0,8;;;60;350;12;15;0;;
16622;2000;1;3;12;1.029,4;4,6;0,4;;;34;350;10;20;0;;
16622;2000;1;3;15;1.028,3;2;-0,6;;;57;360;11;20;0;;
16622;2000;1;3;18;1.028;0,6;-1,8;4,6;-0,8;58;360;12;20;0;;
16622;2000;1;3;21;1.028,7;0,6;-1,8;;;58;10;7;20;0;;
16622;2000;1;4;0;1.026,3;0;-2;;;64;350;5;20;0;;
16622;2000;1;4;3;1.024,9;0,8;-0,8;;;72;360;10;20;4;;
16622;2000;1;4;6;1.024,3;1;-0,8;1,8;-0,8;69;310;10;20;7;;
16622;2000;1;4;9;1.024,5;2,6;0,6;;;66;330;8;20;7;;
16622;2000;1;4;12;1.024;4,4;1,8;;;59;0;0;15;6;;
16622;2000;1;4;15;1.023,3;5,6;3,2;;;63;0;0;15;1;;
16622;2000;1;4;18;1.023,6;1,2;0;5,6;1;78;110;5;15;1;;
16622;2000;1;4;21;1.023,8;0,2;-0,8;;;82;110;5;10;0;;
16622;2000;1;5;0;1.023,8;0,8;-1,6;;;58;130;5;10;0;;
16622;2000;1;5;3;1.023,4;-1;-1,8;;;84;120;4;10;0;;
