STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16710;1990;1;1;6;1.021;4,2;2,8;5;4,2;77;360;5;14;7;;
16710;1990;1;1;9;1.020,7;5;3,2;;;71;80;8;14;8;;
16710;1990;1;1;12;1.019,3;4,4;3,2;;;80;50;9;14;8;;
16710;1990;1;1;15;1.018,9;4;3;;;84;60;10;14;8;;
16710;1990;1;1;18;1.018,9;4;3;5;4;84;50;10;14;8;;
16710;1990;1;2;6;1.017,4;3,2;2,2;4;3,2;83;360;6;14;8;;
16710;1990;1;2;9;1.018,2;4;3;;;84;0;0;14;8;;
16710;1990;1;2;12;1.017,3;4,8;3,2;;;74;50;7;14;8;;
16710;1990;1;2;15;1.016,4;4;2,8;;;80;40;5;14;8;;
16710;1990;1;2;18;1.017,4;3,6;2,6;5;3,2;84;0;0;14;8;;
16710;1990;1;3;0;1.018;3;2,2;;;86;0;0;14;8;;
16710;1990;1;3;3;1.017,1;3;2,2;;;86;50;5;14;8;;
16710;1990;1;3;6;1.016,8;3;2,2;3,6;3;86;0;0;14;8;;
16710;1990;1;3;9;1.016,8;4;2,4;;;73;50;5;14;6;;
16710;1990;1;3;12;1.015,5;5,4;3,4;;;69;150;10;14;6;;
16710;1990;1;3;15;1.015,5;4,4;2,8;;;74;140;10;14;7;;
16710;1990;1;3;18;1.016,4;4;2,6;6;3;77;0;0;14;8;;
16710;1990;1;3;21;1.017,6;3,8;2,8;;;84;0;0;14;8;;
16710;1990;1;4;0;1.018,9;2,6;2,4;;;96;0;0;6;8;1,2;
16710;1990;1;4;3;1.019,8;2;1,6;;;93;360;5;14;8;0,3;
16710;1990;1;4;6;1.021,7;1;0,6;4;1;92;360;7;14;8;1,5;
16710;1990;1;4;9;1.024,6;0,6;-0,4;;;82;360;11;14;8;;
16710;1990;1;4;12;1.024;2,4;0,4;;;64;360;12;14;5;;
16710;1990;1;4;15;1.026,2;1;-0,8;;;69;40;12;14;7;;
16710;1990;1;4;18;1.028,3;0,4;-1,2;2,4;0,4;72;50;12;14;7;;
16710;1990;1;4;21;1.029,7;0,2;-1,8;;;64;50;14;14;7;;
16710;1990;1;5;0;1.030;0,2;-2;;;61;50;15;14;7;;
16710;1990;1;5;3;1.029,7;0;-2,2;;;61;80;13;14;7;;
16710;1990;1;5;6;1.030,6;-0,8;-2,8;0,4;-0,8;62;60;12;14;7;;
16710;1990;1;5;9;1.032,7;-0,8;-3,2;;;56;60;12;14;7;;
16710;1990;1;5;12;1.031,7;-0,8;-3;;;59;50;12;14;7;;
16710;1990;1;5;15;1.031,3;-1,6;-3,8;;;57;60;15;14;6;;
16710;1990;1;5;18;1.031,5;-2,2;-4,2;-0,2;-2,4;60;70;10;14;5;;
16710;1990;1;5;21;1.031,7;-1,6;-3;;;72;50;10;14;6;;
16710;1990;1;6;0;1.030,9;-1;-2,8;;;65;50;10;14;7;;
16710;1990;1;6;3;1.030,2;-0,8;-2,6;;;65;50;12;14;7;;
16710;1990;1;6;6;1.030;-0,8;-2,6;-0,6;-2,2;65;50;15;14;7;;
16710;1990;1;6;9;1.031,7;0;-1,8;;;67;60;12;14;6;;
16710;1990;1;6;12;1.030,6;0,8;-1,2;;;65;50;12;14;5;;
16710;1990;1;6;15;1.030,6;0,8;-1;;;69;50;10;14;7;;
16710;1990;1;6;18;1.031,9;0,2;-1,4;1,2;-0,8;72;360;8;14;7;;
16710;1990;1;6;21;1.033;0;-1,6;;;70;360;5;14;7;;
16710;1990;1;7;0;1.033;0;-1,6;;;70;360;5;14;7;;
16710;1990;1;7;3;1.033;0;-1,6;;;70;50;5;14;7;;
16710;1990;1;7;6;1.033,4;-0,2;-1,4;0,2;-0,2;78;0;0;14;7;;
16710;1990;1;7;9;1.034,5;1,2;-0,6;;;69;0;0;14;7;;
16710;1990;1;7;12;1.032,4;5;1,8;;;51;150;7;14;4;;
16710;1990;1;7;15;1.032,7;4,4;1,6;;;56;160;7;14;3;;
16710;1990;1;7;18;1.035,1;0;-0,6;6;-0,2;89;0;0;14;6;;
16710;1990;1;7;21;1.036,3;0;-0,6;;;89;0;0;14;6;;
16710;1990;1;8;0;1.037;-1;-1,6;;;88;0;0;14;0;;
16710;1990;1;8;3;1.037,8;-4;-4,2;;;96;0;0;14;0;;
