STATIONID;OBSERVATIONYEAR;OBSERVATIONMONTH;OBSERVATIONDAY;OBSERVATIONHOUR;BARPRESSURE;DRYTEMP;WETTEMP;MAXTEMP;MINTEMP;RELHUMIDITY;WINDDIRECTION;WINDFORCEKNOT;VISIBILITY;TOTALCLOUDAMOUNT;PRECIPHEIGHT;HLIOFANIA
16719;1982;7;1;0;1.014,5;25;19,4;;;57;20;5;20;0;;
16719;1982;7;1;3;1.014,5;23;19;;;67;0;0;20;0;;
16719;1982;7;1;6;1.015;26,4;20,6;27,4;23;57;0;0;20;0;;
16719;1982;7;1;9;1.014,5;26,8;21,8;;;63;90;8;20;0;;
16719;1982;7;1;12;1.013,7;32,6;20,8;;;30;320;5;20;1;;
16719;1982;7;1;15;1.012,7;30;18,8;;;31;320;13;20;1;;
16719;1982;7;1;18;1.013;26;18;32,6;26;42;290;9;20;0;;
16719;1982;7;1;21;1.013;23,6;16,4;;;44;290;5;20;0;;
16719;1982;7;2;0;1.014;21,4;15,2;;;48;0;0;15;0;;
16719;1982;7;2;3;1.013,6;19,2;16,4;;;74;0;0;15;0;;
16719;1982;7;2;6;1.015;25,2;19,2;26;19;54;20;12;15;0;;
16719;1982;7;2;9;1.015,5;28;18,6;;;37;60;9;15;0;;
16719;1982;7;2;12;1.015;29;18,4;;;32;50;5;15;1;;
16719;1982;7;2;15;1.014,5;28;19;;;39;50;5;15;0;;
16719;1982;7;2;18;1.014,9;24,6;18;29,4;24,6;50;50;5;20;0;;
16719;1982;7;2;21;1.016;19,8;16;;;66;0;0;20;0;;
16719;1982;7;3;0;1.016,4;17,4;14,2;;;68;0;0;20;0;;
16719;1982;7;3;3;1.016;22,2;19,6;;;78;0;0;20;1;;
16719;1982;7;3;6;1.016,6;23,8;20,4;24,6;16,2;72;140;5;15;2;;
16719;1982;7;3;9;1.017,8;24,8;20,6;;;67;160;5;15;1;;
16719;1982;7;3;12;1.017,4;25,8;21,2;;;65;160;10;15;1;;
16719;1982;7;3;15;1.016,6;27,2;21,8;;;61;140;5;20;1;;
16719;1982;7;3;18;1.016,4;25;18,6;27,2;23,8;52;0;0;20;0;;
16719;1982;7;3;21;1.017,1;19,6;16,6;;;73;0;0;20;0;;
16719;1982;7;4;0;1.017,1;17;14,6;;;76;0;0;20;0;;
16719;1982;7;4;3;1.016,8;15,6;13;;;73;0;0;20;0;;
16719;1982;7;4;6;1.018,1;24,6;19,6;25;15,2;61;0;0;20;0;;
16719;1982;7;4;9;1.018,5;27,6;21,2;;;54;0;0;20;0;;
16719;1982;7;4;12;1.017,3;29,4;21,6;;;48;50;5;20;0;;
16719;1982;7;4;15;1.016,6;29,4;22,6;;;54;110;5;20;0;;
16719;1982;7;4;18;1.017;28,8;18,6;31,8;24,6;35;360;5;20;0;;
16719;1982;7;4;21;1.017,7;25;20;;;61;0;0;20;0;;
16719;1982;7;5;0;1.016,8;19,4;15,6;;;66;0;0;20;0;;
16719;1982;7;5;3;1.016,3;16,6;14;;;74;0;0;20;0;;
16719;1982;7;5;6;1.015,9;24,8;20,2;29;16;64;0;0;20;0;;
16719;1982;7;5;9;1.016,2;30;21;;;42;60;5;20;0;;
16719;1982;7;5;12;1.015,9;32,8;22,6;;;40;20;5;20;0;;
16719;1982;7;5;15;1.014,6;31,6;21,6;;;39;140;5;20;0;;
16719;1982;7;5;18;1.015,4;27,2;22;35,2;24,8;62;0;0;20;0;;
16719;1982;7;5;21;1.016,6;21,8;18,6;;;73;0;0;15;0;;
16719;1982;7;6;0;1.016,6;24,6;20;;;64;360;5;15;0;;
16719;1982;7;6;3;1.016,3;19,2;16,8;;;78;0;0;15;0;;
16719;1982;7;6;6;1.016,2;24,4;21,6;27,2;18;77;0;0;15;0;;
16719;1982;7;6;9;1.016,6;28,2;23,4;;;65;140;9;15;0;;
16719;1982;7;6;12;1.016;28,8;24,6;;;70;50;10;15;0;;
16719;1982;7;6;15;1.015,5;28,2;23,4;;;65;110;8;15;0;;
16719;1982;7;6;18;1.015,3;26;23,2;29,6;19,2;78;0;0;12;0;;
16719;1982;7;6;21;1.015,3;24,4;23;;;88;0;0;10;0;;
16719;1982;7;7;0;1.014,6;24,2;23;;;90;140;5;10;0;;
16719;1982;7;7;3;1.013,7;20,8;20;;;93;0;0;10;2;;
16719;1982;7;7;6;1.012,8;25,4;23,8;26;20,4;87;160;5;10;1;;
16719;1982;7;7;9;1.012;27,2;24,2;;;77;160;10;10;1;;
16719;1982;7;7;12;1.010,9;28;23,4;;;66;140;13;15;1;;
16719;1982;7;7;15;1.009,4;27;23,4;;;72;180;9;15;1;;
16719;1982;7;7;18;1.008,4;25,4;23,4;28,6;25,4;84;140;5;15;1;;
16719;1982;7;7;21;1.009,6;22,4;21,6;;;93;0;0;15;0;;
16719;1982;7;8;0;1.009;22;21,2;;;93;0;0;10;0;;
16719;1982;7;8;3;1.009,4;21,4;21;;;96;0;0;10;1;;
16719;1982;7;8;6;1.010;25,6;21,6;25,6;21,2;69;360;5;15;0;;
16719;1982;7;8;9;1.010,2;28,4;20,4;;;45;20;9;15;1;;
16719;1982;7;8;12;1.009,8;29,6;19,2;;;33;50;5;15;0;;
16719;1982;7;8;15;1.009,8;28,4;19,2;;;38;360;5;15;0;;
16719;1982;7;8;18;1.010,1;24,2;16,8;29,6;24,2;44;0;0;15;0;;
16719;1982;7;8;21;1.012,4;23,6;18,6;;;60;360;5;15;0;;
16719;1982;7;9;0;1.012,4;23,6;20,4;;;73;160;8;15;0;;
16719;1982;7;9;3;1.012,2;23,4;19,8;;;70;160;15;15;4;;
16719;1982;7;9;6;1.012,7;20,8;19,4;24,2;19;87;20;5;15;4;4,2;
16719;1982;7;9;9;1.014,4;21,6;19,2;;;79;160;13;15;4;;
16719;1982;7;9;12;1.014,9;23,2;18,8;;;64;160;15;15;1;;
16719;1982;7;9;15;1.015,1;23,6;18,6;;;60;160;10;20;1;;
16719;1982;7;9;18;1.015,8;22;18,4;24,2;20,8;69;0;0;20;1;;
16719;1982;7;9;21;1.016;18,6;18;;;94;0;0;15;0;;
16719;1982;7;10;3;1.014,9;14,2;13,6;;;93;0;0;15;0;;
16719;1982;7;10;6;1.015,1;19,6;16,2;22;13,8;69;0;0;15;0;;
16719;1982;7;10;9;1.015;25;18,2;;;49;160;5;15;0;;
16719;1982;7;10;12;1.014;25,8;18,8;;;49;20;5;15;1;;
16719;1982;7;10;15;1.013,7;27,2;19,2;;;44;0;0;15;1;;
16719;1982;7;10;18;1.013,4;23;16,4;28,4;19,6;47;0;0;15;0;;
16719;1982;7;11;3;1.013,8;12,6;10,6;;;77;0;0;15;0;;
16719;1982;7;11;6;1.014,2;21,8;16,4;23;12;54;0;0;15;0;;
16719;1982;7;11;9;1.014,2;24,8;19,4;;;58;110;5;15;1;;
16719;1982;7;11;12;1.014;26,2;18,4;;;43;70;9;20;1;;
16719;1982;7;11;15;1.013;27;17,8;;;37;270;9;20;0;;
16719;1982;7;11;18;1.013,4;24;17,6;28,4;21,8;51;290;5;20;0;;
16719;1982;7;12;3;1.013,3;13,6;12,4;;;86;0;0;15;0;;
16719;1982;7;12;6;1.013,7;21,2;16,2;24;13,6;57;0;0;15;0;;
16719;1982;7;12;9;1.013,7;25,2;20,8;;;66;180;5;15;0;;
