name,station_id,hydroscope_id,water_division,longitude,latitude,altitude
Alexandroupoli,16627,20035,GR12,25.9478901047853,40.8563703043285,3
Elliniko,16716,20224,GR06,23.7325338506187,37.8813272701311,10
Herakleio,16754,20089,GR13,25.1818607895216,35.3352764568089,39.6
Ioannina,16642,20039,GR05,20.8193565949021,39.6949225813468,477
Kalamata,16726,20076,GR01,22.0225729540796,37.0691343737372,6.3
Kerkyra,16641,20106,GR05,19.9127257046576,39.6113606027819,11
Kythira,16743,20219,GR03,22.9886792927837,36.1491678785949,167.9
Larisa,16648,20042,GR08,22.4601585562546,39.6461101756771,71.3
Limnos,16650,20044,GR14,25.2327838105715,39.9156507672472,12
Methoni,16734,20078,GR01,21.7044742595097,36.8250505100309,61.6
Milos,16738,20080,GR14,24.4292901525375,36.7386063252543,166.8
Mytilini,16667,20051,GR14,26.6037731304547,39.0541294796019,2.6
Naxos,16732,20077,GR14,25.3734463324877,37.1013156513795,7.9
Patra,16689,20063,GR02,21.7210404007204,38.2208035110306,1.5
Rodos,16749,20087,GR14,28.0882980499185,36.4022297093395,8.4
Samos,16723,20074,GR14,26.9161399758733,37.6910561411241,7
Skyros,16684,20060,GR07,24.4906956430265,38.9628539974486,23
Souda,16746,20085,GR13,24.1166666667,35.5333333333,150
Thessaloniki,16622,20033,GR10,22.9714854777246,40.5274305631933,32
Tripoli,16710,20114,GR03,22.3972598738505,37.5247890963748,652
Zakynthos,16719,20120,GR02,20.887579248716,37.7513648501523,3
